origin_census_block_group,Tot_Population_ACS_15_19,Race,Entropy_norm,Entropy_cat,permeability_mean,sample_count,range_mean,range_variance,range_median,phase_angle_mean,phase_angle_variance,phase_angle_median,baseline_mean,baseline_variance,baseline_median,Time,Time1,Time2
295101152001,865,1,0.564843122745469,2,0.0508854754392832,251,0.16767415382166376,0.007915631578306468,0.17505648007583602,0.4729499385829733,0.3784488543170368,0.5466426774604527,0.4225772853476055,0.003615125135846208,0.4183249664454662,1.731263372891236,15.268736627108765,15:16
295101154002,813,1,0.6190356516360318,2,0.3951279751841344,251,0.1158793778239663,0.004589598590226111,0.1075464738874272,0.945605820564586,0.17239471424642702,0.9563871108580436,0.2888694516690965,0.008986140448482166,0.2761796808157297,3.461450332864399,13.538549667135602,13:32
295101156002,274,1,0.3221316362633322,1,0.1705586413470205,251,0.2156652661082273,0.007357066447592019,0.2189044598567084,0.9185852171810136,0.2123314545991176,0.9451646970201756,0.4358982056885417,0.0037948179747975225,0.4389283410550012,3.3625396932065126,13.63746030679349,13:38
295101156006,1096,1,0.6341897883468995,2,0.040302294471748004,251,0.1730518046537897,0.007366698444320541,0.1801038317588976,0.7037090322940072,0.32789014044296183,0.7428077152858726,0.4393523169405614,0.003710822362572351,0.43972357887590796,2.5759717327241254,14.424028267275874,14:25
295101161001,832,1,0.6559981348713566,2,0.0437624501992032,251,0.2582082838785895,0.009277438179389088,0.2619173353810764,0.9723502381596812,0.22080427193560992,1.0398249575847,0.3964109987788477,0.0038294947758910187,0.3946650830137242,3.559349976852984,13.440650023147015,13:26
295101161002,989,1,0.7499637596341452,2,0.0646111207344534,251,0.13261258073288865,0.005842587854335963,0.13808426215627007,0.6361960066193041,0.3743383276150636,0.7733614313097854,0.3386371280462184,0.0028774186028272327,0.3346986455750591,2.328836002262088,14.671163997737914,14:40
295101162005,759,1,0.4464142625793069,2,0.0525277021033127,251,0.2304535434674389,0.010306635890163996,0.237345022677815,0.8459863432613625,0.27719195927728224,0.9126003293378486,0.3836196673130877,0.003802221790988018,0.3796626847303336,3.096786891320504,13.903213108679495,13:54
295101163011,929,1,0.6427085726807334,2,0.0415131722839535,251,0.24254176314789144,0.013793511863125435,0.2363651566528997,0.8673374502588713,0.2316277342777698,0.9421040206074216,0.36910110684990266,0.0028834366725435322,0.3668318123081599,3.174943978360666,13.825056021639336,13:49
295101163013,983,1,0.6082005811862297,2,0.0444529106361937,251,0.2274536862649225,0.008641436015965613,0.23008924573526002,0.9894632368278194,0.2192525762793093,1.0323050888130911,0.4420228846536572,0.0031559998326029922,0.4393469479441901,3.6219931984236458,13.378006801576355,13:22
295101165004,1204,1,0.6962554591057296,2,0.0526564836997524,251,0.2717744396188478,0.006092161140313974,0.2709724366395401,1.002693942679908,0.11486277515517845,1.0349502281896148,0.4217506479528728,0.002269940310472886,0.42338688551646136,3.6704250398736047,13.329574960126395,13:19
