origin_census_block_group,Tot_Population_ACS_15_19,Race,Entropy_norm,Entropy_cat,permeability_mean,sample_count,range_mean,range_variance,range_median,phase_angle_mean,phase_angle_variance,phase_angle_median,baseline_mean,baseline_variance,baseline_median,Time,Time1,Time2
295101011001,1312,1,0.3818798669009796,1,0.0632287921484792,251,0.2861212319365805,0.003902796400792492,0.29094210657929265,1.0135757748883094,0.06142449619087885,1.0241953217313058,0.4878298143947138,0.0013261518061851779,0.486255533773731,3.71025867974847,13.28974132025153,13:17
295101011002,1157,1,0.6731790661855785,2,0.0469444607051483,251,0.2388333128211614,0.00663144783756979,0.2369532778754089,1.0729029904951213,0.16192421680100247,1.1161537996854516,0.4287966780808827,0.0028048393122354193,0.4264377829942209,3.927429731093633,13.072570268906365,13:04
295101012001,1477,1,0.5989825057007192,2,0.043730292101735,251,0.3684134960264154,0.009583103437437427,0.3549534137570421,1.2040439959339877,0.04283272903791819,1.227237776399138,0.4970417908748629,0.0025699358592301412,0.4988273314674404,4.407479734019279,12.592520265980722,12:35
295101012002,1105,1,0.2949464471141585,1,0.0588379513619727,251,0.2300507304690461,0.0046916118710751825,0.226409396096417,1.0487175819222618,0.09767811728613804,1.0634871555872496,0.4458983714460518,0.0023495450096173176,0.4487195943300412,3.8388975026170766,13.161102497382927,13:09
295101012003,826,1,0.3118696342679374,1,0.0501094894031621,251,0.3162196546542354,0.014792860570355944,0.32374896579722623,1.0632993529017885,0.1872459294471568,1.1430282329629096,0.420882702936462,0.0037437760290845593,0.4200421185484789,3.8922750040168657,13.107724995983133,13:06
295101013001,660,1,0.3957775559440212,1,0.089092116382953,251,0.2637086443097747,0.006987321852639837,0.27159285158242674,1.0776633219241345,0.13026961154582944,1.1148390575875058,0.4440144771434213,0.002651123682998427,0.4455580877264185,3.944855227480346,13.055144772519656,13:03
295101013002,1236,1,0.6832780409774208,2,0.0528049613842364,251,0.307149606115496,0.00817589890988117,0.3053548344735995,1.1117886655441835,0.08852508259917627,1.1401438483497133,0.4736706396081644,0.00318798793822735,0.4766964563090163,4.069773221282674,12.930226778717325,12:55
295101013003,1350,1,0.4120231641441365,1,0.0664423786336136,251,0.3319820553543715,0.004628184407221515,0.332779973804555,1.1448433864660608,0.05576354778617169,1.1726187431437047,0.496475780692757,0.001692332275024604,0.4954417788100238,4.190772132509189,12.809227867490812,12:48
295101013004,839,1,0.1945029512280224,1,0.0672067391934052,251,0.1763774707121158,0.009020902855696991,0.17736991822030934,0.8814076628037966,0.3619553863869357,0.9985822643736876,0.5093389604361783,0.002959705448928182,0.5109295251784617,3.2264488875288713,13.773551112471127,13:46
295101014001,923,4,0.8230952653298708,2,0.0651133278370807,251,0.1829694006126152,0.005131019911731453,0.1849883874008104,0.8719104189464225,0.22028015447671795,0.9067303366637492,0.3709338656688049,0.004261495871532618,0.3765472305092669,3.191683621498916,13.808316378501086,13:48
295101014002,1016,3,0.5666108624832243,2,0.0623843209837814,251,0.12533027100948127,0.00643587923083013,0.13154789777481113,0.5871091987144926,0.42134251284305,0.7089571531288421,0.3888205798794592,0.0018483633000705077,0.3891462789211134,2.149150615533067,14.850849384466931,14:51
295101014003,905,1,0.5833711411889926,2,0.0661794809711431,251,0.18892063157952066,0.006651436106440588,0.1927300544724045,0.8748822916537283,0.2382511670564149,0.8999697018871676,0.3985374543068593,0.0032717506977752784,0.3941113072772217,3.202562350825891,13.797437649174109,13:47
295101015002,858,3,0.4660165916016699,2,0.0737237530066215,251,0.17109539059571274,0.00427345000985945,0.17231489889881085,0.8260863437554746,0.18109853975231915,0.8223223315253341,0.42625727337456304,0.0027435423150572913,0.4268564445946701,3.0239416756760726,13.976058324323928,13:58
295101015003,947,1,0.6275585343603017,2,0.0662566208239902,251,0.20389853682818296,0.0038673367283628478,0.1985628942176268,0.8594659365426287,0.11284229667832385,0.8365972270428008,0.4307236948598653,0.002642548530799799,0.4293081225379765,3.1461298010568863,13.853870198943115,13:51
295101018003,1165,4,0.7794509898099193,2,0.0674896978609168,251,0.2261283485252936,0.003283671916702984,0.22283680931904565,0.9905385029695232,0.08134004543382349,0.9792743422273521,0.44290000227632814,0.002575358327124935,0.4398243806426123,3.62592927862025,13.37407072137975,13:22
295101018004,892,4,0.8349745100107766,2,0.0709717185071373,251,0.20926909153393514,0.003685537388146389,0.20685269901510486,0.8772526355770848,0.12811461947371058,0.8871851251462459,0.4396240038748375,0.001850508984988492,0.4367317076664162,3.2112391457271814,13.788760854272821,13:47
295101021001,829,1,0.1268050744381351,1,0.0557816982972812,251,0.2648878182304114,0.0057165878846059965,0.2707614007586961,1.0982702533854876,0.14594416972721347,1.1350204344145471,0.3934492319430387,0.002505461772871525,0.3932243785567895,4.020288212573042,12.979711787426956,12:58
295101021002,987,1,0.6130352489191555,2,0.0406842740486887,251,0.19692055047060086,0.0116479275884251,0.2154051294181004,0.9298223884919058,0.3313939510859176,1.013795408026029,0.4114602378477119,0.003735129466509229,0.4121143168680825,3.4036740744979883,13.596325925502011,13:35
295101021003,826,1,0.5392078186430435,2,0.0591532176379228,251,0.2779465897529886,0.007410469156344175,0.26914574036356737,1.1379239959375955,0.07962833056040466,1.1817436613766723,0.4383863488600575,0.003161830954009732,0.4377056953017779,4.165443262776053,12.834556737223945,12:50
295101022001,752,1,0.0,1,0.0644443502585402,251,0.2785912665319202,0.008985384275478937,0.28010236511102543,1.0741280194952278,0.15987154931438755,1.126740007563065,0.4468208296034441,0.003529403324712645,0.4445355939723637,3.9319140277719846,13.068085972228014,13:04
295101022002,1014,1,0.2996937219651996,1,0.0464296659515782,251,0.2361522295339553,0.009209834447325276,0.24395109533943998,1.1064710383385563,0.2381868630481213,1.180475752912383,0.4163659742134941,0.0028120122076868963,0.4146626036901124,4.050307708210877,12.949692291789123,12:56
295101022003,755,1,0.0,1,0.0501147726972903,251,0.3074727826760916,0.009881573842249969,0.3045438891650841,1.1836380380503204,0.1383782117890592,1.2312745842787434,0.4030479332407346,0.003114220598282789,0.3994768290715564,4.332782425507932,12.667217574492069,12:40
