Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2020-03-13,Friday,282083833657.3483,18.987990271291626,1.6553167763363439,0.4564967040535583,1.6095535186422432,1530.5314421121948,0.12717355229730884,0.9667598947505696,0.4285882137193514,0.8884775894258413,0.8717492278397175,0.02466359822909093,0.2543471045946177
2020-03-16,Monday,282220126716.5907,20.3257281521188,1.6523892390408923,0.4566913146049709,1.6096934423272842,1541.0862348829392,0.0969855849091724,1.1991216519150378,0.478905925378099,0.9699985574091852,0.9654983410205626,0.00358770355787229,0.1939711698183448
2020-03-17,Tuesday,282042097999.791,20.313180749004946,1.6534846974742932,0.4568222422682806,1.609961834844544,1539.1012470525318,0.0846382249565855,1.1144010788360446,0.4949418282922083,0.9729031799314471,0.9688386569211644,0.0024485224634856985,0.169276449913171
2020-03-18,Wednesday,282487396153.4738,20.472409723711497,1.6514866941483524,0.4566140588659795,1.6094592287240532,1541.2486669756327,0.0810821753545318,1.1654645578555018,0.5006483903984891,0.9757647772305638,0.9721294938151483,0.002009956974077544,0.1621643507090636
2020-03-19,Thursday,282268914677.0389,20.200431249035454,1.6523056865005814,0.4565904679101983,1.6093638260920329,1539.4260910599007,0.07221830392320848,0.9196093296509382,0.4915468270568998,0.9349893167938732,0.9252377143129542,0.00439017843854588,0.14443660784641693
2020-03-20,Friday,282590833517.2502,20.642561510735934,1.6501811062163485,0.4565304383667198,1.6091972589329415,1543.8025012236906,0.06441973781589777,0.8416697909889388,0.4521614908152752,0.9224383381810366,0.910804088908192,0.004198758134020303,0.12883947563179554
2020-03-23,Monday,282231865575.33563,20.33392105233489,1.6510464279462391,0.4565829372777552,1.6094907902670532,1538.977782856476,0.059345799301021476,1.0922175423370175,0.5066099711054927,0.9678313911414256,0.9630060998126394,0.0014345944699370276,0.11869159860204295
2020-03-24,Tuesday,282427218034.0756,20.567540623833047,1.6501678221232063,0.4566098256299748,1.6095338600065467,1542.6028893741968,0.06313543244343259,1.3477848803612675,0.5188530790352072,0.9392859994545524,0.9301788993727352,0.003197864533320725,0.12627086488686518
2020-03-25,Wednesday,282226120068.8925,19.71436937230776,1.6518285835979245,0.4561718028921036,1.608776039649965,1535.3343723379542,0.054778155579146316,0.8705681788354013,0.5154805855405378,0.9088740895333838,0.8952052029633913,0.003628394108705157,0.10955631115829263
2020-03-26,Thursday,282567578329.68915,21.475903476697393,1.6476167471025818,0.4567132925193332,1.6095793505642018,1548.8615598487577,0.05980075007361306,0.982862686880718,0.526677826908546,0.9727099242749354,0.9686164129161756,0.0012203770257365465,0.11960150014722612
2020-03-27,Friday,282360240255.61273,21.99844263949721,1.6465795297783865,0.4568856719838996,1.6097547662289973,1553.7474965512451,0.057743241494306624,1.0815464717777512,0.5319393920843909,0.9791477174236168,0.9760198750371594,0.0008696124038141441,0.11548648298861325
2020-03-30,Monday,282536113809.9679,20.622499650050766,1.648711279724656,0.4564659491135555,1.6091989987484356,1542.6867275500626,0.05120902451379037,1.0842132964568751,0.5168861154255203,0.9783031886114768,0.9750486669031984,0.000712374757045543,0.10241804902758074
2020-03-31,Tuesday,282287970317.8353,20.994775338669978,1.6479166871057305,0.4567240897505578,1.6095272199275967,1545.4247858803674,0.053438317136478494,1.1131464366520616,0.5249604845768413,0.9767955393622612,0.9733148702666004,0.0008324572751170152,0.10687663427295696
2020-04-01,Wednesday,282117378127.2029,18.926650081829955,1.6555396056478675,0.4558494513077681,1.6081683798147783,1529.4659346779267,0.05722085703111138,1.0326534986691502,0.5484736289641166,0.9805929130131894,0.9776818499651678,0.0007909960427304977,0.11444171406222275
2020-04-02,Thursday,282143625135.9647,19.066630322392406,1.6555293394009585,0.45580438549632796,1.6081528503260467,1530.1021292750086,0.05551227999772293,1.000286934835303,0.5482009958297615,0.9789863984833193,0.975834358255817,0.0008055772456138098,0.11102455999544586
2020-04-03,Friday,282227752767.1122,19.191424840658073,1.6554057636415342,0.4559623612403728,1.6084020571351454,1532.1217556019335,0.05488177553988705,0.9621446185780804,0.5457442623990819,0.9792848839957478,0.97617761659511,0.0007738088375695217,0.1097635510797741
2020-04-06,Monday,282528943257.8142,20.085321108413595,1.6526556625312103,0.4560387515474051,1.6084512926134984,1538.0037598002546,0.056361173267328014,1.030641621755903,0.5560959807432522,0.9840984958986124,0.9817132702834042,0.0006264598290507634,0.11272234653465606
2020-04-07,Tuesday,282532398710.3212,20.028627544472425,1.6523968524755892,0.455972959270351,1.6084306606593468,1538.3497805578643,0.05360552926046591,1.0951360025285148,0.5544478923535797,0.979669512422134,0.9766199392854542,0.0007309452426685056,0.1072110585209318
2020-04-08,Wednesday,282342007637.6811,19.805191568149656,1.6520252906779411,0.4559988881916657,1.6084066291056138,1536.4213545252665,0.056847294595512736,1.0407072985595047,0.5502442894499043,0.9814111412856952,0.9786228124785497,0.0007475769737361083,0.11369458919102547
2020-04-09,Thursday,282484409746.5052,19.844392801004805,1.652713336145332,0.4558370750738076,1.6081189184471951,1536.1323627090212,0.05213807261200299,0.9910807460960142,0.5494346874787327,0.9720387421319616,0.967844553451756,0.0009517020700848967,0.10427614522400598
2020-04-10,Friday,282630508014.69946,20.263796304094125,1.6520028246523972,0.4559652926125132,1.6083327245720411,1539.5114471473444,0.051403119100253976,0.8866328615499705,0.5506822749924426,0.9859773579773742,0.9838739616739804,0.00045378251496212287,0.10280623820050797
2020-04-13,Monday,282902415923.9803,20.96309933994841,1.6490813867305418,0.4560758906640584,1.6083855672430802,1545.4173984322465,0.05322610086184655,0.8395512449501308,0.5589143363760213,0.9489998783655768,0.9413498601204132,0.0018317015606582518,0.1064522017236931
2020-04-14,Tuesday,282966507627.8906,22.21118478815598,1.6470091498852542,0.4565567791208698,1.609262147689679,1554.3123429071006,0.05656094376139454,1.1486260234476051,0.5770279676083517,0.9718440835450396,0.9676206960767956,0.0011397802023278285,0.11312188752278908
2020-04-15,Wednesday,282355005093.46826,22.25610446111454,1.6484946183225038,0.4568599962541101,1.6097267000644808,1553.1597787808146,0.058666334591245435,1.0515720784228126,0.5757329733645465,0.974814613014364,0.9710368049665188,0.0010868259107565056,0.11733266918249087
