Variable,Coefficient,std,p-value
% Hispanic,-0.263777257,0.01047383906700018,1.083715051057335e-139
% Black,0.2593682302588426,0.009246663697239326,1.008852850468948e-172
Poverty Rate,1.48681769311387,0.01741616532162983,0.0
Unemployment Rate,0.9008917048501122,0.03518281128952422,2.485899983284696e-144
% Age 65Plus,1.358703279829466,0.01962759815081504,0.0
% Not High School Degree,0.5685670763965089,0.02235342341025201,1.917202123144402e-142
