Variable,Coefficient,std,p-value
% Hispanic,-0.31551112,0.01053808480878762,1.964696817545251e-196
% Black,0.1447439459453009,0.009234535597948484,2.486606158824137e-55
Poverty Rate,0.8924009633002528,0.01882315562149666,0.0
Unemployment Rate,0.8614931496831246,0.03453075459262937,3.949201952517896e-137
% Age 65Plus,1.305672766667135,0.02000244875519152,0.0
% Not High School Degree,0.5198677255515589,0.02199632874857488,2.730699083374024e-123
% Owner-Occupied Housing,-0.523895278,0.008934467126860466,0.0
% Vacant Housing Units,0.92135999606583,0.01673573273006309,0.0
