Variable,Coefficient,std,p-value
% Hispanic,-0.255647598,0.008143219213611528,1.042633677792412e-215
% Black,0.2069858866945601,0.009256906835614672,1.398266882629419e-110
Poverty Rate,1.537471994797939,0.01641455834244434,0.0
Unemployment Rate,1.040256079768184,0.03567248183592457,1.767459839228639e-186
