origin_census_block_group,Tot_Population_ACS_15_19,Race,Entropy_norm,Entropy_cat,permeability_mean,sample_count,range_mean,range_variance,range_median,phase_angle_mean,phase_angle_variance,phase_angle_median,baseline_mean,baseline_variance,baseline_median,Time,Time1,Time2
131210017002,547,3,0.5467956016246728,2,0.1060620406855212,251,0.17243233675980524,0.004585723127658029,0.17150838798228127,0.4900493254293136,0.22348718771780784,0.5015920441551147,0.3771573382217779,0.002084492488946836,0.3770503371380965,1.793856767521255,15.206143232478745,15:12
131210018002,798,3,0.5094033092825121,2,0.2242458736482639,251,0.07376699096734693,0.0035323059995501687,0.06544259978917827,0.1808259373929295,0.5886373899737699,0.2472873219485393,0.24925121111033616,0.009207402784899385,0.23215207400570115,0.6619248608321374,16.338075139167863,16:20
131210019002,1948,3,0.733527897808643,2,0.1526501795691975,251,0.13988340616397724,0.0014835339830318373,0.13792632571891789,0.4228662082758039,0.09985872452130692,0.4408200659579321,0.3064675645473015,0.0007248672680466736,0.3056803120323975,1.5479286882132859,15.452071311786716,15:27
131210021001,2409,3,0.7779320552589843,2,0.1052543665107109,251,0.16157211799521914,0.0026689312111678816,0.16256795283464687,0.6834487827052709,0.0951210438216984,0.7271290997115556,0.3224188040219785,0.0033302942350634697,0.3344080430245045,2.5018077987066984,14.498192201293302,14:29
131210023003,384,3,0.1664279016008179,1,0.1744584163346614,251,0.11820286730546968,0.00394965934049426,0.11949590728149635,0.17257045637357354,0.36729328587374777,0.14036329897116676,0.3438349412184579,0.0026746632284784504,0.3363023597423012,0.6317051467600057,16.368294853239995,16:22
131210024001,1651,3,0.1477006904654053,1,0.072536021872534,251,0.20312334105309804,0.003274618740349566,0.2022901539504335,0.7688833127462136,0.10939123878557737,0.7877444511965843,0.4150446992277136,0.0015294004823190384,0.4157780348085315,2.814546337341927,14.185453662658071,14:11
131210024002,1251,3,0.2704857909857001,1,0.28508507934688104,251,0.11374994409958955,0.0057622459728125216,0.0948745133043752,-0.12039866336330385,0.7121035825026644,-0.3625428397887649,0.3808295487647666,0.012456250135980843,0.3906322197414546,-0.4407269755663185,17.440726975566314,17:26
131210025001,2069,3,0.3109582142033722,1,0.0784392637280746,251,0.17680661337640774,0.0019695806878961,0.17634665959906176,0.6366710109311879,0.08340838480989593,0.6404416169672991,0.4393963903134211,0.0016424361162362855,0.4421524891913565,2.330574785799292,14.669425214200707,14:40
131210025002,745,3,0.4095027232295184,1,0.0627931228107703,251,0.17374748706788812,0.008629745636808203,0.17918889672038255,0.6917191145153804,0.32384238616237543,0.7224147432078786,0.4028794310031535,0.0029990126111848364,0.40571814826538505,2.532081875044246,14.467918124955752,14:28
131210026001,1672,3,0.2253034839163955,1,0.0478707180845992,251,0.20166505241131868,0.003837520784633241,0.1995484689542208,0.7773992825116436,0.12429721452320562,0.7638711785742154,0.3987820697003036,0.00227383875995333,0.4054955449381668,2.845719587059881,14.154280412940118,14:09
131210028001,4713,3,0.7927699790859061,2,0.0960444240436937,251,0.2358992425975405,0.005816579152605778,0.256056581242951,0.6133870321065772,0.082137882708455,0.6624390302713621,0.4254386199008833,0.011753271553468062,0.464181444926901,2.2453422983292644,14.754657701670736,14:45
131210035002,1222,3,0.6018191483523179,2,0.0896642562320277,251,0.13308559168626385,0.0022324778392170236,0.13579561541595767,0.500876633837118,0.2347632064922705,0.4981238218396634,0.2986448154904185,0.0017023800672592568,0.2964645850855656,1.833490819551352,15.16650918044865,15:09
131210036001,1254,3,0.5240473434387496,2,0.0475641294471235,251,0.1940115698401477,0.0059003829090287655,0.19643647267280093,0.613910192245171,0.2024627948302698,0.6536317516600404,0.39479945693678814,0.002089371704120857,0.3942919307366188,2.2472573593372385,14.752742640662762,14:45
131210038001,4283,3,0.6652456364036555,2,0.0633487530150236,251,0.1933331430126156,0.005048967422919687,0.20991368105707525,0.35947683884230136,0.0865926044951562,0.3964555885879433,0.4268781974069413,0.013984044712059815,0.479571951184717,1.3158878640624208,15.684112135937578,15:41
131210039001,1156,3,0.1018952762659341,1,0.048946084175409,251,0.16783597091931585,0.0071398562388281794,0.16852889225761708,0.654201435145846,0.2564958171235071,0.6794347146924689,0.4239239342994563,0.0028925599525973064,0.4222302475462174,2.394746020169288,14.605253979830714,14:36
131210039002,934,3,0.135461844912209,1,0.0753346357610243,251,0.14668874863072667,0.00568276353690594,0.15477292508222595,0.5606264753041406,0.32074336659532154,0.6315383109231026,0.4005201555948548,0.0020621975516292735,0.39301697225522975,2.052208919775328,14.947791080224672,14:56
131210040001,1142,3,0.1900959271793902,1,0.068451238827527,251,0.1529342620581782,0.0031238706165543717,0.1529122623759176,0.7912696629699041,0.2124217539222356,0.7803318071368631,0.3986416165885445,0.0025439869379832746,0.3985387817363133,2.8964929981473206,14.103507001852678,14:06
131210040002,855,3,0.3757571907587309,1,0.0512709396332797,251,0.1159845298547304,0.0107687326911895,0.123815395555474,0.4814014188493895,0.5574550416284235,0.6070171905512083,0.41607804872664417,0.0038956830913291374,0.4173800140226822,1.762200554690642,15.237799445309358,15:14
131210040003,708,3,0.2734697471402026,1,0.0591363360118845,251,0.1806892006953294,0.007863047222400166,0.1833855689296312,0.7056923682606999,0.2732801849143662,0.7245005277776929,0.386485823638114,0.003849616868057853,0.386214904944364,2.5832318603510807,14.41676813964892,14:25
131210041001,598,3,0.3201408219467252,1,0.0749576943063864,251,0.2105901182017912,0.006593505892170677,0.21525295432234529,0.8077155101488711,0.19764528174272733,0.8230374881523794,0.3877791956079668,0.0043926266629381455,0.3849776612758865,2.95669406920025,14.043305930799749,14:02
131210041002,798,3,0.3022800036371306,1,0.0693217106511298,251,0.18645055888685388,0.0060441611318721574,0.1956181923058199,0.5691288069772533,0.2449168708929951,0.5594880808621313,0.4396277191145093,0.003244047416691433,0.4419644831796675,2.0833322463877297,14.91666775361227,14:55
131210041003,818,3,0.6253321341301915,2,0.0553531594891826,251,0.19300670693505312,0.006151143468981453,0.18684876763140573,0.5391686258993766,0.17921085159005032,0.5414744232846193,0.37701064335601897,0.00332540459171198,0.377242426421514,1.973661095354866,15.026338904645133,15:01
131210042001,629,3,0.0,1,0.0770273437252579,251,0.256090270303283,0.007581567232985383,0.25654245945602466,0.8161624923247828,0.12236616515350182,0.7830690624598715,0.4358088482414706,0.0032824046359673305,0.43389575887021264,2.9876147854528763,14.012385214547123,14:00
131210042002,1848,3,0.3358749935572205,1,0.0711310601748848,251,0.17270777344500596,0.002154208803282656,0.17222421256690482,0.7440190755062842,0.09599959316817293,0.7334664210826763,0.4105671975855133,0.0013632328124767244,0.4059726597466198,2.723529213294207,14.276470786705794,14:16
131210043002,1192,3,0.3928732678097192,1,0.0672210486911414,251,0.17983675775745034,0.0035829132981438664,0.18262084537052206,0.6250953116564689,0.12480659115080722,0.6456645163288568,0.38200219400524105,0.0016962029577297275,0.3830299855134622,2.288201201335005,14.711798798664994,14:42
