Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2019-01-02,Wednesday,278314030627.2234,14.71406784395253,3.0,0.44253011388060187,1.598835944299391,95.53182114882506,0.06687622095670369,0.8675110872571395,0.4260740774403887,0.971167409830843,0.9668425213054695,0.0016009967780175743,0.13375244191340738,3.175579587651961,13.82442041234804,13:49
2019-01-03,Thursday,278152760274.002,14.606666299948245,3.0,0.4425312715617452,1.5989450214802328,95.94888248409376,0.08117859089557837,0.6809566299101624,0.4233107969796645,0.9713933176184932,0.9671023152612672,0.0023054974347553672,0.16235718179115674,2.492685114672217,14.507314885327784,14:30
2019-01-04,Friday,278259169498.8477,14.564231147069385,3.0,0.4420042022364235,1.5977504890241252,95.76592045207563,0.07228943313750742,0.79453538821385,0.4196081547165159,0.9808866147393795,0.9780196069502864,0.0012207096451506447,0.14457886627501484,2.908447393400462,14.091552606599539,14:05
2019-01-07,Monday,278302331153.3742,14.446852462321885,3.0,0.4423809463839585,1.5986634793002281,96.80185808975334,0.08827016113935597,1.097417590449364,0.4270715743184013,0.9646319691331492,0.9593267645031216,0.0035021722676514856,0.17654032227871194,4.017166985588309,12.98283301441169,12:58
2019-01-08,Tuesday,278362565446.47473,14.439277892160025,3.0,0.4425180661481356,1.5989775940830977,97.38764411572764,0.09515682646334643,1.056312318633488,0.4233026810803457,0.9750510466627382,0.9713087036621488,0.002832689801660401,0.19031365292669286,3.8666985200657584,13.133301479934241,13:07
2019-01-09,Wednesday,278339645951.75525,14.045782617296164,3.0,0.4420736501918057,1.5983611005589624,99.83269115971129,0.0942539934912181,1.1041771766495885,0.4267644039039536,0.9734665364983024,0.9694865169730476,0.002969738138205852,0.1885079869824362,4.0419108813998035,12.958089118600196,12:57
2019-01-10,Thursday,278257062968.6176,13.802147327777554,3.0,0.4417052667322137,1.5975530532698137,101.5423343438718,0.09730405512207163,1.0188022480826298,0.4264166203532072,0.9794678411176716,0.9763880172853222,0.0024203677227899447,0.1946081102441433,3.7293905177561775,13.270609482243822,13:16
2019-01-11,Friday,278114140123.2856,13.712505762759607,3.0,0.4414946780562863,1.597325247712383,102.07531539336183,0.09485383060418058,0.928386611385756,0.4131762647240171,0.9772676017262336,0.9738577419851688,0.002535368887461241,0.1897076612083612,3.3984183209546837,13.601581679045317,13:36
2019-01-14,Monday,278205480557.2891,14.027829238267493,3.0,0.4418725311430547,1.5978761445522025,99.8031099311914,0.09389231972997578,1.0087421395858085,0.4376500422021424,0.9789978783688628,0.9758475601241924,0.002304667841825511,0.18778463945995155,3.69256484986405,13.30743515013595,13:18
2019-01-15,Tuesday,278306331401.6471,14.40896119232961,3.0,0.4424962545114867,1.5989668297988038,97.7278955954323,0.09921002160205453,0.9801425985382012,0.42538961721717417,0.9801448232818304,0.977166546774105,0.002424755454781766,0.19842004320410905,3.587874408322666,13.412125591677334,13:24
