Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2019-01-02,Wednesday,278314030627.2234,14.71406784395253,3.0,0.44253011388060187,1.598835944299391,1255.7722476066144,0.07066894894615157,0.8838786023261912,0.44032862609666623,0.972533139601251,0.9684131105414386,0.0017028434694205848,0.14133789789230314,3.235493919027486,13.764506080972513,13:45
2019-01-03,Thursday,278152760274.002,14.606666299948245,3.0,0.4425312715617452,1.5989450214802328,1255.149709065202,0.08567741446920564,0.6987230593983828,0.437177294705901,0.9725272674494788,0.9684063575669004,0.002466906308257398,0.17135482893841128,2.557720261377526,14.442279738622474,14:26
2019-01-04,Friday,278259169498.8477,14.564231147069385,3.0,0.4420042022364235,1.5977504890241252,1254.518691588785,0.07609970719738013,0.8067112270632208,0.4317295028663206,0.9811456637668204,0.9783175133318434,0.0013353957044273336,0.15219941439476026,2.9530178270013194,14.04698217299868,14:02
2019-01-07,Monday,278302331153.3742,14.446852462321885,3.0,0.4423809463839585,1.5986634793002281,1254.8818863414106,0.09333826615014383,1.1169774134878492,0.4387936818439632,0.964715192146564,0.9594224709685488,0.0039111041436514105,0.18667653230028766,4.088766963607595,12.911233036392405,12:54
2019-01-08,Tuesday,278362565446.47473,14.439277892160025,3.0,0.4425180661481356,1.5989775940830977,1255.602349358277,0.1010791825873772,1.0703619810901834,0.4358103284725183,0.9755052926458384,0.9718310865427142,0.003139541776627759,0.2021583651747544,3.9181282043271395,13.08187179567286,13:04
2019-01-09,Wednesday,278339645951.75525,14.045782617296164,3.0,0.4420736501918057,1.5983611005589624,1253.803657676236,0.09983617812706548,1.1164157808391315,0.4395653460878405,0.9742375718115552,0.9703732075832884,0.003234998492577685,0.19967235625413096,4.086711071525955,12.913288928474046,12:54
2019-01-10,Thursday,278257062968.6176,13.802147327777554,3.0,0.4417052667322137,1.5975530532698137,1251.8154504114336,0.10333770470768687,1.0323415957567341,0.4397965189505567,0.9795936366879878,0.976532682191186,0.002715325557735668,0.2066754094153737,3.7789521622533675,13.221047837746632,13:13
2019-01-11,Friday,278114140123.2856,13.712505762759607,3.0,0.4414946780562863,1.597325247712383,1252.1178731929178,0.10033242124827634,0.9410575735329968,0.42529363382027546,0.977054552833115,0.9736127357580824,0.0028666574213120732,0.20066484249655267,3.444801184922348,13.555198815077652,13:33
2019-01-14,Monday,278205480557.2891,14.027829238267493,3.0,0.4418725311430547,1.5978761445522025,1252.711545754998,0.09983122698740207,1.0280435062261055,0.4498446858745464,0.9792710258066712,0.9761616796776718,0.00257432276143974,0.1996624539748041,3.763218731776393,13.236781268223607,13:14
2019-01-15,Tuesday,278306331401.6471,14.40896119232961,3.0,0.4424962545114867,1.5989668297988038,1255.481239804241,0.1047297140537084,0.992527565680786,0.43863017162526624,0.9801016703473666,0.9771169208994716,0.002710494832104606,0.20945942810741688,3.633210369360447,13.366789630639552,13:22
