name,state,White,Hispanic,Black
AL,1,0.4743569113473044,0.4419663050295716,0.4211864656461332
AK,2,0.4306954033524284,0.4625402638785445,
AZ,4,0.4905242339844441,0.4633128192510706,0.4640293122586958
AR,5,0.4620182112953949,0.44845803921364696,0.41283481419727786
CA,6,0.4839616144804933,0.4697815939784433,0.4460318993462596
CO,8,0.4635068835358111,0.4463940962548245,0.4304149768428393
CT,9,0.4504183265966018,0.4406113725960456,0.4335364718532933
DE,10,0.4497996776342381,0.4282761077861035,0.4334725953204088
DC,11,0.3564845596090188,0.4054333880536037,0.411126160618732
FL,12,0.4735333546999842,0.4665795166779338,0.4259431129693387
GA,13,0.474923610637073,0.4262941705346914,0.4315008099411987
HI,15,0.43376744314904336,0.4353763170464037,
ID,16,0.4724456718704888,0.4554767176262005,
IL,17,0.4598609475218757,0.4485448301580189,0.4413274374393789
IN,18,0.4511227343781074,0.4387881550224035,0.4195614762618184
IA,19,0.4551348135439025,0.4303845261932738,0.4122773752947667
KS,20,0.4607279389857129,0.4311090899756182,0.4186692193641202
KY,21,0.4504822662438916,0.4108544064054784,0.4187089416418602
LA,22,0.4638605638320421,0.435260486902451,0.4187553087263696
ME,23,0.42592229291029604,,
MD,24,0.45863138212728394,0.4225103750428471,0.43381858588933053
MA,25,0.4346028105193267,0.43980558180195134,0.4303360678628233
MI,26,0.4529075318412118,0.4400076482923413,0.42168905210969976
MN,27,0.4388837576259324,0.40955812050671536,0.4377705709985044
MS,28,0.4638410733509034,0.41142567658771534,0.4139732676319052
MO,29,0.4643443360200621,0.424825419844345,0.43007386755750615
MT,30,0.4344216787421025,,
NE,31,0.4509736702398315,0.4352339733454481,0.4309359339636789
NV,32,0.4854304774327066,0.4717491139575686,0.4589814099197205
NH,33,0.44594189170787496,0.4541968752621367,
NJ,34,0.4776589343503265,0.4399230328960657,0.4274179373156273
NM,35,0.4522496380356289,0.4413919960504787,
NY,36,0.4442911003289902,0.4431795661743127,0.4450709471183935
NC,37,0.449460521913068,0.41732975195242056,0.4107466588968584
ND,38,0.4294364832470656,,
OH,39,0.4571001672919148,0.41504090050215614,0.42302671153427374
OK,40,0.4678950624935987,0.4458512383269427,0.4288368695215463
OR,41,0.4745518148312568,0.4662815681158661,
PA,42,0.449451746513418,0.4543235743818287,0.4345195184101703
RI,44,0.4433881151589237,0.4497101992601627,0.3438310595009899
SC,45,0.4676001055616156,0.4268108757695829,0.4185315512057517
SD,46,0.4349037193485685,,0.40796725961700575
TN,47,0.4609709407333336,0.4336564305370672,0.4220931756487322
TX,48,0.4761825249410566,0.4559249797327747,0.4366380779092232
UT,49,0.4840436120405229,0.44938019826546427,
VT,50,0.40459701767521866,,
VA,51,0.455499522190172,0.4436702560959612,0.4283222645721707
WA,53,0.4765550023489895,0.4525760824355469,0.4248664118352448
WV,54,0.4380080876144961,,0.4399054485745143
WI,55,0.4458274617308992,0.4562261043915348,0.4419496188250757
WY,56,0.4331899277961511,0.3739581414976463,
