name,state,White,Hispanic,Black,
AL,1,0.3504368311493559,0.2474060344700073,0.21901783856242005,
AK,2,0.2685976395651999,0.2452734085757933,,
AZ,4,0.2838571949335826,0.2321202243681582,0.21232806260499607,
AR,5,0.3286363860342236,0.2354539517123967,0.20807273629981066,
CA,6,0.3209770506989447,0.2680585684050731,0.2394110957883707,
CO,8,0.2849270606758121,0.23375455706334794,0.2273506790610845,
CT,9,0.2835804369227889,0.1848904597457369,0.17653025740051978,
DE,10,0.2541776800067562,0.18129379283128674,0.18460241502462765,
DC,11,0.22338189337495146,0.2252651908619416,0.1935657812503712,
FL,12,0.2607185296579324,0.29811030387152715,0.1912679332659605,
GA,13,0.3346849718080789,0.23511480866476125,0.2099745533140902,
HI,15,0.25902943613743484,0.24703702719912796,,
ID,16,0.2838379566940705,0.2486243660219409,,
IL,17,0.3028824116313578,0.2519537243719261,0.2046971864299027,
IN,18,0.2741036741390234,0.19239031257715627,0.1753964089700325,
IA,19,0.3096330068996477,0.17382546267974833,0.1563108911290899,
KS,20,0.30448131170584314,0.21229399527898016,0.18039975658886948,
KY,21,0.27010806858972025,0.1899856411351009,0.14732616472562293,
LA,22,0.3226286902265549,0.23328085156902995,0.20234248116327336,
ME,23,0.21743723245795826,,,
MD,24,0.28347222575981895,0.23310991970707945,0.22300258666619316,
MA,25,0.26228721990952303,0.1916057193344824,0.22330257246365046,
MI,26,0.2597748999539531,0.1844605858676656,0.15329536914121006,
MN,27,0.2803023495034218,0.18204539710145065,0.19717250607257347,
MS,28,0.35521227271051503,0.16545816776193598,0.2287862534190635,
MO,29,0.3048725107096079,0.1996009765695449,0.19028386656475885,
MT,30,0.2661307550440201,,,
NE,31,0.3131115900042009,0.2173390385122936,0.16893119023877767,
NV,32,0.2778805048518519,0.21858726526858788,0.17199480051933286,
NH,33,0.2643703186243498,0.1854941867223953,,
NJ,34,0.3141787657041261,0.24248781624881585,0.1883790853227642,
NM,35,0.2680885682350314,0.2381356448778617,,
NY,36,0.2711285281385453,0.2230562520924705,0.2188690414230236,
NC,37,0.28270773003183153,0.215540965538222,0.1845500166857316,
ND,38,0.2886138818025909,,,
OH,39,0.26876956569274324,0.13285063331584854,0.16690711493853036,
OK,40,0.3204603307589333,0.2390822276298973,0.2009575172397691,
OR,41,0.2804361929695616,0.2426893597219237,,
PA,42,0.2542307815477267,0.15173348562252487,0.17511775407462632,
RI,44,0.25500730504942914,0.1859443257400452,0.12441036783454895,
SC,45,0.3019004369850092,0.22139544026038652,0.21523593549534897,
SD,46,0.29431529013072233,,0.1982375517704295,
TN,47,0.30498899945668223,0.2424681685299689,0.19827339653336856,
TX,48,0.3378253472957879,0.2733882100243927,0.2255551395472612,
UT,49,0.302424839975397,0.2365416548323888,,
VT,50,0.2018393555295388,,,
VA,51,0.2841542530501321,0.2428531356186147,0.193672009770966,
WA,53,0.29418406732790264,0.22259661516718984,0.2373738019247541,
WV,54,0.2258014516153856,,0.15756747744012928,
WI,55,0.2781816077090468,0.1929735046349608,0.18439611669677436,
WY,56,0.2633393675167379,0.2469704790431891,,
