Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
1.0,0.09925432270914963,0.9316600354861208,0.4424387541106308,0.9874804149099744,0.9856024771464704,0.0015134488056788016,0.19850864541829927,3.410400898362095,13.589599101637905,13:35
2.0,0.12961341988338426,1.1141760206219062,0.4202118161212888,0.9682512330350986,0.9634889179903634,0.006760129269014749,0.2592268397667685,4.07851228659798,12.92148771340202,12:55
3.0,0.1301051826623593,1.1096642299451245,0.4131934566153347,0.9625858300218542,0.9569737045251324,0.008071988862208473,0.2602103653247186,4.0619965894646475,12.938003410535352,12:56
4.0,0.12803399063533494,1.1206969892179888,0.4058834050376113,0.9608909630055548,0.9550246074563878,0.008191132533952115,0.2560679812706699,4.102382707471691,12.89761729252831,12:53
5.0,0.13218212379439126,1.1326805840820704,0.4086263890100631,0.9615147819162644,0.9557419992037042,0.00859189424263975,0.2643642475887825,4.146249419720164,12.853750580279836,12:51
6.0,0.12367418459983355,1.0807137712491557,0.4119947613919017,0.963758959139874,0.9583228030108552,0.007043440813823187,0.2473483691996671,3.9560215915211003,13.0439784084789,13:02
7.0,0.1270514063908212,1.0522483943618122,0.3975180487583718,0.9628773168642064,0.9573089143938374,0.007606811697465691,0.25410281278164243,3.8518222664334267,13.148177733566573,13:08
8.0,0.11773623659601574,1.1019243232719358,0.384772744593748,0.9669029946763052,0.9619384438777512,0.005818489745367002,0.2354724731920315,4.033664168124165,12.966335831875835,12:57
9.0,0.11175980613377264,1.11299282822568,0.3719704466575173,0.9734592984987944,0.9694781932736136,0.004178788049977655,0.22351961226754527,4.074181135472752,12.925818864527248,12:55
10.0,0.12232101954529633,1.090533409382332,0.3730597290296725,0.9634212151267828,0.9579343973958002,0.006961214965754289,0.24464203909059265,3.9919670023312803,13.00803299766872,13:00
11.0,0.11401023593374138,1.0316627397733094,0.3855626891939869,0.9577489446884008,0.9514112863916612,0.006999029230606315,0.22802047186748275,3.7764671666889473,13.223532833311053,13:13
12.0,0.06396868394671643,0.8407562089465098,0.4287766720194417,0.9691925116494612,0.9645713883968804,0.0015650307029207305,0.12793736789343285,3.077641651547907,13.922358348452093,13:55
13.0,0.047044247543898285,0.7619833669021493,0.458242739199716,0.9675231007301104,0.9626515658396272,0.0008882575304450995,0.09408849508779656,2.789288646114495,14.210711353885506,14:12
14.0,0.04596166238145253,0.7226846815416482,0.4786257244033864,0.9720891668569334,0.9679025418854734,0.0007229464415267441,0.09192332476290506,2.6454333053753474,14.354566694624653,14:21
15.0,0.04464443334907298,0.6932836706118692,0.4941112365044035,0.9721899418912099,0.9680184331748912,0.0006779817164836948,0.08928886669814598,2.5378090322837643,14.462190967716236,14:27
16.0,0.0462083761693476,0.6948959424587376,0.5085376354592936,0.9667447746479688,0.9617564908451642,0.0008735294365414619,0.0924167523386952,2.5437108560666157,14.456289143933384,14:27
17.0,0.04611966296134937,0.7681758680705832,0.4756257945178373,0.9717995065934042,0.9675694325824148,0.000738380519477898,0.09223932592269872,2.8119566910488425,14.188043308951158,14:11
18.0,0.052115825327933483,0.7321518793977391,0.4664529051587529,0.9716500806115124,0.9673975927032392,0.0009452732672229556,0.10423165065586697,2.680088586103942,14.319911413896058,14:19
19.0,0.056713343745082336,0.7472696786149485,0.4797085988836385,0.9780986130099704,0.9748134049614658,0.0008601231411374811,0.11342668749016467,2.7354282530080045,14.264571746991995,14:15
20.0,0.05708590244486016,0.7565365961510815,0.4676541499585232,0.974972169200448,0.9712179945805152,0.0009997973583313036,0.11417180488972033,2.7693503948693166,14.230649605130683,14:13
21.0,0.059709501756154575,0.7611949018957045,0.4589477027636402,0.9733172316255466,0.9693148163693788,0.0011685534456789394,0.11941900351230915,2.786402419740189,14.213597580259812,14:12
22.0,0.0625612811499379,0.7574863471228321,0.44757723621900497,0.9754778800121372,0.9717995620139576,0.0011760021763206007,0.1251225622998758,2.772827018792107,14.227172981207893,14:13
23.0,0.06476381218908812,0.8323909483354134,0.4455249556352118,0.9768411525502548,0.9733673254327928,0.0011956708771678293,0.12952762437817625,3.047020082288225,13.952979917711776,13:57
24.0,0.06791818355232901,0.8007979409439963,0.4483919830628941,0.9769826527166884,0.9735300506241916,0.0013034722132168248,0.13583636710465802,2.93137186653812,14.06862813346188,14:04
25.0,0.07509562105422966,0.80939493943911,0.4681493595109637,0.9759130482548128,0.9723000054930346,0.0016705487919677668,0.15019124210845933,2.9628417270818916,14.03715827291811,14:02
26.0,0.07341772158260297,0.8150047053876279,0.4649776390052767,0.9754675401221986,0.9717876711405284,0.0016277342767105866,0.14683544316520594,2.9833766326286817,14.016623367371318,14:00
27.0,0.07444620342157869,0.7593683950218513,0.4608634854435822,0.9729470364197128,0.9688890918826696,0.0018421817103275657,0.14889240684315738,2.779716374996193,14.220283625003807,14:13
28.0,0.07142595705193355,0.8102065311124487,0.4583678578400085,0.9740980290207242,0.9702127333738328,0.0016282819705062835,0.1428519141038671,2.9658126100933253,14.034187389906675,14:02
29.0,0.07133181777153738,0.8073073168195518,0.4541500304255854,0.9722853452747441,0.9681281470659556,0.001740480714600774,0.14266363554307473,2.9551998515199895,14.044800148480011,14:02
30.0,0.06941947095572185,0.8014452173686664,0.4555073015992251,0.9719395695272144,0.9677305049562964,0.001668788692760628,0.1388389419114437,2.933741263116381,14.066258736883618,14:03
31.0,0.06688001202803848,0.7908863559453259,0.4465096327222961,0.9695100858128736,0.9649365986848046,0.001685830066433204,0.13376002405607695,2.8950898783706007,14.104910121629398,14:06
32.0,0.0709890525741147,0.748106638096757,0.4543601651293377,0.9656275135891536,0.9604716406275268,0.002142467840636918,0.1419781051482294,2.7384919964980456,14.261508003501955,14:15
33.0,0.0731798817175288,0.7687978273287407,0.4309653456680734,0.968408672210284,0.9636699730418268,0.0020899802990836016,0.1463597634350576,2.8142334125266055,14.185766587473395,14:11
34.0,0.07327087842982143,0.8482375700879341,0.4328304774132476,0.9733209629887803,0.9693191074370974,0.0017716403231593555,0.14654175685964285,3.105027650502313,13.894972349497687,13:53
