Week,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
1.0,0.1194815841404421,1.0663641843561544,0.4785712668586658,0.9886014469457026,0.986891663987558,0.0020137977213623816,0.2389631682808842,3.9034940147581008,13.0965059852419,13:05
2.0,0.1565470118559206,1.2282945742282747,0.4586098203432398,0.9692775835874624,0.9646692211255818,0.009593392508268708,0.3130940237118412,4.496250520411852,12.503749479588148,12:30
3.0,0.16676338393560486,1.2392270835071149,0.4535797561901033,0.9593897272966814,0.9532981863911836,0.01454613387235899,0.3335267678712097,4.536269666930737,12.463730333069263,12:27
4.0,0.16767833345999505,1.2446549966925005,0.44746796761646856,0.9583560743053616,0.9521094854511659,0.015100653586401338,0.3353566669199901,4.556138888855676,12.443861111144324,12:26
5.0,0.17165813270955704,1.2547033574356246,0.4511668637258743,0.9588660529600138,0.9526959609040161,0.015631149476610366,0.3433162654191141,4.592921553347168,12.407078446652832,12:24
6.0,0.1607861286219917,1.2249456129146217,0.4452731173819909,0.9615219271699241,0.9557502162454128,0.012774826846553731,0.3215722572439834,4.48399143422415,12.51600856577585,12:30
7.0,0.1608394922282778,1.1929885021709548,0.4330258736401039,0.9599573252026594,0.9539509239830584,0.013302909176429886,0.32167898445655563,4.367010394962986,12.632989605037015,12:37
8.0,0.15621102829279,1.2446137414881453,0.4222344127418223,0.9610648748013536,0.9552246060215568,0.012218798294638159,0.31242205658558,4.555987871552544,12.444012128447456,12:26
9.0,0.14822743808144384,1.2958383500919837,0.3994657401198375,0.9724945121745296,0.968368689000709,0.007698031664698581,0.2964548761628877,4.74349881389926,12.25650118610074,12:15
10.0,0.1577218823253688,1.2307992236099372,0.411113658227468,0.9600476407244558,0.9540547868331242,0.01278681053198747,0.3154437646507376,4.505418948997336,12.494581051002664,12:29
11.0,0.14560690855451874,1.1786479549028053,0.43085999654824136,0.9604112795185288,0.954472971446308,0.010765423720107158,0.29121381710903754,4.314515908322501,12.685484091677498,12:41
12.0,0.08568310598613428,1.0824739421008085,0.478444066862109,0.9808963449247378,0.9780307966634484,0.001751168373010368,0.17136621197226856,3.962464809030817,13.037535190969184,13:02
13.0,0.06498854697091926,1.1253894344339723,0.5136477578142868,0.9830107929727327,0.9804624119186428,0.00089640237896325,0.1299770939418385,4.119559702051861,12.88044029794814,12:52
14.0,0.0616065577467906,1.1175395314392864,0.5286153411555031,0.984564661708581,0.9822493609648679,0.000730351781456256,0.1232131154935812,4.090824632170749,12.909175367829251,12:54
15.0,0.0594272855151231,1.0951741135140411,0.5495791296369468,0.9863650314900272,0.9843197862135312,0.0005983933804288857,0.1188545710302462,4.008954595377015,12.991045404622984,12:59
16.0,0.06406607560113821,1.0906202305076331,0.5644991025936535,0.9836417612296756,0.9811880254141272,0.0008364269840705372,0.12813215120227642,3.992284816590179,13.007715183409822,13:00
17.0,0.0649330842114609,1.1350476665598717,0.5242305761641116,0.9866190456053008,0.984611902446096,0.0007026460813711852,0.1298661684229218,4.154914275892274,12.845085724107726,12:50
18.0,0.06871589032948416,1.0834702327935424,0.5125326485513257,0.9874691603113124,0.9855895343580092,0.0007339106220017902,0.13743178065896833,3.9661117945664333,13.033888205433566,13:02
19.0,0.07443335295244574,1.0852486041078089,0.5192267500521432,0.9866626487736192,0.9846620460896622,0.0009173988544288024,0.14886670590489148,3.972621636028755,13.027378363971245,13:01
20.0,0.07571990362510406,1.0964584199732412,0.5100244297497231,0.9880758175646044,0.9862871901992948,0.0008481886120941504,0.1514398072502081,4.013655880969826,12.986344119030175,12:59
21.0,0.07948772456923725,1.0757628197600342,0.4974306516795797,0.9876941261678472,0.9858482450930244,0.000963705629675942,0.1589754491384745,3.9378983182635574,13.062101681736443,13:03
22.0,0.08348557059457784,1.0647278574071886,0.4822871336523335,0.9894098209569868,0.9878212941005348,0.0009126162294822328,0.16697114118915568,3.8975041357419253,13.102495864258074,13:06
23.0,0.08452046726145483,1.1238786354209276,0.4828126154256805,0.9858370538224382,0.983712611895804,0.0012602215529612696,0.16904093452290966,4.114029326040138,12.88597067395986,12:53
24.0,0.08967906936335977,1.08571358504917,0.4812917495016556,0.9877178446340832,0.9858755213291954,0.0012250647321070255,0.17935813872671955,3.9743237283797614,13.025676271620238,13:01
25.0,0.09631563394690501,1.0732712142937924,0.4994513086628186,0.9881409677288974,0.986362112888232,0.0013627219703341265,0.19263126789381002,3.9287776377612524,13.071222362238748,13:04
26.0,0.09316505783768143,1.0797521073965195,0.499091939293923,0.9884483653533434,0.9867156201563448,0.001242118218140736,0.1863301156753629,3.952501359739084,13.047498640260915,13:02
27.0,0.0904960569508919,1.0330868413037804,0.4985005442926021,0.9877910723740274,0.9859597332301316,0.0012356023555842133,0.1809921139017838,3.781680181043849,13.21831981895615,13:13
28.0,0.08979865421656856,1.080282373881294,0.4942364730829358,0.9871235644517662,0.9851920991195312,0.0012880897918253011,0.17959730843313712,3.9544424339798634,13.045557566020136,13:02
