county,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,max_y,min_y
10001,0.11887487576100485,1.1344740643089162,0.4538759018621652,0.9369899816298574,0.9275384788743359,0.011676344772600348,0.2377497515220097,0.5727504497982637,0.3350010637838968
10003,0.12399047048452184,1.1074497245525403,0.4465293002250936,0.9360953873840469,0.926509695491654,0.01287429489539659,0.2479809409690437,0.5705195039019669,0.3225389007462116
10005,0.11140401664051322,1.0772579480369693,0.4434247195705314,0.9346927701692972,0.9248966856946916,0.010616730950172385,0.22280803328102644,0.5548282483883986,0.3320207048444993
1001,0.18634483599506504,1.2694508072391493,0.4887052548921656,0.9499976929765148,0.942497346922992,0.02261565575314611,0.3726896719901301,0.6750500627773449,0.30236104654818496
1003,0.1655887598977057,1.2270776231573473,0.47739314182162895,0.9539350128397028,0.9470252647656582,0.016351715868681588,0.3311775197954114,0.6429815001164952,0.3118044554438452
1005,0.13544639971136407,1.2038956757961228,0.4158730059483065,0.9573082235001004,0.9509044570251154,0.0100917608581982,0.2708927994227281,0.5513191038309699,0.2804266785909161
1007,0.1771857137764653,1.2581859001601607,0.4672138207117234,0.958022938171971,0.9517263788977668,0.017013049606978782,0.3543714275529306,0.6443992268997846,0.2900282524091251
1009,0.1911348994517948,1.2748633236366849,0.4933881629995986,0.960475814764688,0.9545471869793912,0.018606548479690118,0.3822697989035896,0.6845230521893902,0.3022540219481233
1011,0.12509276827501234,1.11341561270775,0.4026028034469182,0.9646738784050622,0.9593749601658216,0.00703194845890387,0.2501855365500247,0.5276953799667511,0.27751015667807216
1013,0.1467689375081836,1.2382921594969731,0.4374000918847888,0.9546229702795502,0.9478164158214828,0.012651977633207993,0.2935378750163672,0.5841689778596465,0.29063154485923903
1015,0.14981068819742152,1.2325664565850818,0.4644848996768025,0.9550969992253162,0.9483615491091136,0.01303405420271002,0.29962137639484304,0.6142954406887248,0.3146744390374323
1017,0.1410676281041944,1.285371506544306,0.4445603598646084,0.9538614644039498,0.9469406840645422,0.011918910980945895,0.2821352562083888,0.5856275822171177,0.3034927710433251
1019,0.16118175350729025,1.2958653787995071,0.4578678436377104,0.9631861149812708,0.9576640322284614,0.012300533806500546,0.3223635070145805,0.6190493343037308,0.2966862345792294
1021,0.18230242612954886,1.2940420986267829,0.4744014667964587,0.957417944763692,0.9510306364782458,0.018309168197797203,0.3646048522590979,0.6567038928986078,0.2920999321823301
1023,0.14982338001325093,1.226772543476888,0.4235134581216129,0.966322861657718,0.9612712909063756,0.009660843375122172,0.2996467600265019,0.5733365684633519,0.2736901946728821
1025,0.1585295212051591,1.2637145834264212,0.4365220152021649,0.9599289203598776,0.9539182584138592,0.012978034981218222,0.3170590424103182,0.5950514400568606,0.2779928245823063
1027,0.1739095421579588,1.3076628963086312,0.4380464503938572,0.9582252967171158,0.9519590912246833,0.01634129282413032,0.3478190843159176,0.6119559012822293,0.26413729912898465
1029,0.1843763183270241,1.3510291554910432,0.4670761773346623,0.9616476883199694,0.9558948415679648,0.016828878986748556,0.3687526366540483,0.6514524834171691,0.28270057162348017
1031,0.15987635636802566,1.2286414814328113,0.4693095941311368,0.9480193807813548,0.9402222878985579,0.017309142619599583,0.3197527127360513,0.6291854415670854,0.30943326864321696
1033,0.1653596162603128,1.1969303006024337,0.4709850033675086,0.9483641125579996,0.9406187294416992,0.018357620787689717,0.33071923252062563,0.6363439774171803,0.3056253976873987
1035,0.12614903091852406,1.196521880299524,0.3978919585283801,0.962998217511235,0.9574479501379204,0.007539396274779419,0.2522980618370481,0.5240403856296165,0.2717429277719691
1037,0.15318865501892345,1.2503780222262486,0.4464723288117562,0.9648355407958784,0.9595608719152604,0.010573944406261878,0.3063773100378469,0.5996609747188322,0.2932842742182289
1039,0.1655682286663223,1.2410477428903577,0.4744771212632163,0.94512880040366,0.9368981204642092,0.0196675590286848,0.3311364573326446,0.6400447482672817,0.3089089092745213
1041,0.19467209083713602,1.2910805105807277,0.4551951431391162,0.9542283440698319,0.947362595680307,0.022514266272358655,0.3893441816742719,0.6498663702169243,0.2605230549780869
1043,0.17999233055277758,1.246137932631314,0.477030564653873,0.955563789889803,0.9488983583732734,0.018622271902685842,0.3599846611055552,0.657022379290727,0.2970382847837416
1045,0.1435749442558823,1.2079646877306938,0.4540753366303265,0.950739097740432,0.9433499624014968,0.013177390688280742,0.2871498885117646,0.5976500056986624,0.3105004934933361
1047,0.12758589144830498,1.1710797243425863,0.431086369977784,0.9567649220076891,0.9502796603088424,0.00905747712577115,0.25517178289661,0.558671757788524,0.30350048568666765
1049,0.15775875946030118,1.2691739241717084,0.4583356234529254,0.9537315233043012,0.9467912517999464,0.014939900940143804,0.3155175189206024,0.6160943770608003,0.3005775147783968
1051,0.19005749334341995,1.291583733423327,0.4751933239144841,0.9512578873209164,0.943946570419054,0.02292403896122872,0.3801149866868399,0.6652502348170188,0.2851358731066007
1053,0.13958401538632967,1.20136348911488,0.4341298880358541,0.9571547555312708,0.9507279688609616,0.010756575717411437,0.2791680307726593,0.5737137142935391,0.2945460293807697
1055,0.15320554635535158,1.1968280433368443,0.4660320383326729,0.9520206366125579,0.9448237321044416,0.014585982785905137,0.3064110927107032,0.6192369452170391,0.3128264969766414
1057,0.1757090098160607,1.2519554488881446,0.4662706459143389,0.9590417156630332,0.9528979730124884,0.016302611098194687,0.3514180196321214,0.6419793310751063,0.29056176737619355
1059,0.18452873954560367,1.2738481304306135,0.4560870459974465,0.9505857922110668,0.9431736610427268,0.021906793561272262,0.36905747909120734,0.6406156191598747,0.2715586060050378
1061,0.17038588919138867,1.2621127326965116,0.4667716520368854,0.9518636518540692,0.9446431996321796,0.01816064181947356,0.3407717783827773,0.6371575199870979,0.2963863590408307
1063,0.1032609883705739,1.1259902891665878,0.3653246537466742,0.967244293717878,0.9623309377755596,0.004434592309461106,0.2065219767411478,0.4685854845997395,0.262063766292384
1065,0.15137916988368552,1.2187641809953496,0.42363077887872896,0.9626177754160172,0.9570104417284198,0.010985336040652787,0.30275833976737104,0.5750099463523413,0.2722522749802801
1067,0.17172207452218613,1.272255563579513,0.4504023827227569,0.9513344605354108,0.9440346296157226,0.018668128885798264,0.34344414904437226,0.622123717393136,0.2786803119614435
1069,0.16068549743711702,1.2144596934459515,0.4692719262299051,0.9497975787413662,0.9422672155525712,0.01684311382131324,0.32137099487423404,0.6299570476288786,0.3085865061600948
1071,0.15291088814345868,1.2577054851903806,0.4531918127547788,0.96000189830201,0.9540021830473115,0.01204823073503297,0.30582177628691737,0.6061025546844507,0.30028116193506016
