Proportion,Mean_Variance
50.0,0.13449683504658239
51.0,0.1527850440664434
52.0,0.15027474001915125
53.0,0.15826797965172085
54.0,0.16329371280845217
55.0,0.15005579231317157
56.0,0.14967977101737884
57.0,0.15443475314834768
58.0,0.1644915216800669
59.0,0.16462541620100632
60.0,0.16517251177124978
61.0,0.16377012749389588
62.0,0.1764936785050692
63.0,0.1656460873829733
64.0,0.16164805464407084
65.0,0.18097331065715352
66.0,0.16889098986882167
67.0,0.17796518489266858
68.0,0.19036531243304436
69.0,0.1785075759223056
70.0,0.1663915608142884
71.0,0.18314090476241549
72.0,0.18821976783781222
73.0,0.1773215858538942
74.0,0.17939271897064213
75.0,0.18196912044414007
76.0,0.19384481988703814
77.0,0.19552837328043707
78.0,0.18125377005238447
79.0,0.18068654596629444
80.0,0.19461505963014442
81.0,0.21049122365901393
82.0,0.19629417068787633
83.0,0.20307624306678387
84.0,0.2124716317642818
85.0,0.2015515961354309
86.0,0.20744957995809016
87.0,0.19918016784094056
88.0,0.20390370798379812
89.0,0.19284590830068032
90.0,0.21302199048248419
91.0,0.20491744522390876
92.0,0.21350220896037667
93.0,0.21318371927396845
94.0,0.24465593053427914
95.0,0.23722097093906896
96.0,0.24413460644833465
97.0,0.23799333107442122
98.0,0.24945673799914989
99.0,0.2301503234108748
100.0,0.27265447117786307
