Proportion,Mean_Variance
50.0,0.11637166456249574
51.0,0.11650200539662642
52.0,0.108074535008481
53.0,0.11986539032223684
54.0,0.1125252951390652
55.0,0.11189804902059147
56.0,0.1092564832538609
57.0,0.12042255356492436
58.0,0.12027516353593427
59.0,0.10991772060259644
60.0,0.1132330617351247
61.0,0.12786763985125468
62.0,0.11694288370616471
63.0,0.11734582500128606
64.0,0.12021915199923727
65.0,0.11680942687260738
66.0,0.11708638150069291
67.0,0.13135820524911393
68.0,0.13020083652751016
69.0,0.12642718673647446
70.0,0.12101108728353087
71.0,0.12999990251717666
72.0,0.1247145419608519
73.0,0.1309313661358654
74.0,0.12451650686044513
75.0,0.12546895149249135
76.0,0.1300592419570123
77.0,0.12728226784975774
78.0,0.1328035891389381
79.0,0.12580894778791502
80.0,0.1364058373980739
81.0,0.13486213711221
82.0,0.14312780411189013
83.0,0.13615536567780667
84.0,0.12391483171754365
85.0,0.13282500354399232
86.0,0.12054089488771283
87.0,0.11738486936834502
88.0,0.12808632375200077
89.0,0.12775183818650418
90.0,0.1292111387297423
91.0,0.11903489863751163
92.0,0.12541320839208275
93.0,0.12107720915041661
94.0,0.13172392685285506
95.0,0.1261969432378965
96.0,0.11939396354631064
97.0,0.13180923599692887
98.0,0.1266010881802573
99.0,0.1285510296293288
100.0,0.15176291310507925
