origin_census_block_group,device_count,completely_home_device_count,part_time_work_behavior_devices,full_time_work_behavior_devices,delivery_behavior_devices,at_home_by_each_hour
xxxxxxxxxxx42,38,10,6,3,1,"[23,21,22,23,24,24,20,20,17,14,11,12,8,8,10,16,17,18,17,23,18,19,23,26]"
xxxxxxxxxxx43,49,14,3,3,1,"[33,32,34,33,31,32,33,26,25,23,17,16,17,17,17,13,18,22,26,33,32,35,34,34]"
xxxxxxxxxxx44,67,30,3,2,1,"[35,34,37,36,35,35,35,34,30,27,24,23,26,21,20,19,19,24,23,29,32,32,33,35]"
xxxxxxxxxxx45,95,38,6,4,1,"[61,63,57,62,56,54,53,49,46,43,43,42,41,39,38,34,36,43,47,50,50,52,51,56]"
xxxxxxxxxxx46,89,23,11,4,5,"[58,62,61,61,62,59,57,55,50,44,44,38,41,34,32,36,42,42,42,43,49,54,60,60]"
xxxxxxxxxxx47,102,40,12,3,1,"[51,53,53,52,48,47,45,43,49,47,40,41,41,36,40,36,41,50,46,52,57,60,62,61]"
xxxxxxxxxxx48,92,30,3,6,4,"[61,61,60,62,58,62,59,57,50,45,42,39,32,35,34,30,38,46,46,48,53,52,56,60]"
xxxxxxxxxxx49,93,48,1,1,1,"[54,57,53,54,52,51,45,44,44,44,44,39,40,40,43,42,45,46,44,48,44,48,47,49]"
xxxxxxxxxxx50,103,48,14,5,3,"[64,66,64,63,61,60,60,56,52,50,47,44,45,41,38,41,42,52,50,56,64,65,71,67]"
xxxxxxxxxxx51,44,15,5,3,2,"[20,22,23,22,21,21,24,21,19,19,17,17,20,18,22,19,18,17,20,18,22,25,24,22]"
xxxxxxxxxxx52,69,26,10,7,1,"[40,39,39,38,38,39,38,34,32,32,30,25,27,27,25,24,30,33,40,39,42,49,47,47]"
xxxxxxxxxxx53,43,19,5,3,1,"[30,28,35,33,33,35,26,25,24,23,17,18,17,17,18,18,16,20,20,23,23,28,24,26]"
xxxxxxxxxxx54,30,8,1,1,2,"[15,13,8,12,14,12,11,11,9,13,11,13,13,18,16,17,16,17,14,18,17,17,15,19]"
xxxxxxxxxxx55,131,53,10,7,1,"[72,70,70,71,71,72,70,65,61,55,45,52,49,46,47,54,46,58,56,59,63,71,74,76]"
xxxxxxxxxxx56,24,6,2,1,1,"[14,14,13,14,18,14,10,12,11,10,6,9,4,9,8,13,6,6,8,7,9,11,11,8]"
xxxxxxxxxxx57,52,19,5,4,1,"[41,39,41,40,38,39,34,30,22,23,23,24,22,21,19,23,26,28,30,32,35,38,39,38]"
xxxxxxxxxxx58,48,14,8,5,4,"[18,17,18,20,21,23,21,18,12,8,8,9,6,6,10,12,10,13,13,15,13,17,19,17]"
xxxxxxxxxxx59,192,66,12,7,13,"[106,102,104,105,104,101,102,103,87,80,82,75,79,81,82,82,80,87,85,87,91,100,104,99]"
xxxxxxxxxxx60,26,6,3,1,1,"[14,10,17,9,15,13,14,15,12,10,9,11,12,5,9,12,6,7,10,10,11,10,10,12]"
xxxxxxxxxxx61,93,33,8,6,4,"[44,49,49,48,51,50,46,43,42,42,39,34,31,29,29,34,32,35,37,45,50,52,53,52]"
xxxxxxxxxxx62,238,99,24,14,12,"[156,156,156,157,159,152,145,137,118,112,106,107,106,99,104,102,111,119,121,125,143,157,167,169]"
xxxxxxxxxxx63,436,169,34,23,4,"[231,238,246,249,244,241,234,220,191,171,176,170,164,172,167,170,166,176,170,199,218,233,248,241]"
xxxxxxxxxxx64,47,14,6,1,1,"[26,25,25,25,23,24,23,26,19,15,19,15,13,16,16,14,22,18,14,22,25,24,25,28]"
xxxxxxxxxxx65,101,24,13,4,1,"[62,65,64,62,66,62,59,55,46,42,41,38,38,31,32,31,33,38,43,52,57,65,65,67]"
xxxxxxxxxxx66,100,47,9,1,1,"[47,50,51,51,49,47,47,44,51,43,40,39,36,38,35,33,32,34,36,38,43,45,44,43]"
xxxxxxxxxxx67,241,82,13,9,8,"[129,127,126,122,125,125,125,116,103,94,94,95,83,84,91,89,93,97,106,111,122,127,130,135]"
xxxxxxxxxxx68,215,91,17,10,8,"[132,134,136,138,135,131,130,116,108,106,98,95,91,92,88,83,91,93,94,91,99,107,120,126]"
xxxxxxxxxxx69,223,92,22,15,6,"[129,130,131,127,130,127,128,122,104,96,92,86,91,90,88,83,91,94,93,108,116,122,126,121]"
xxxxxxxxxxx70,58,34,3,2,3,"[29,28,34,36,38,39,41,39,37,36,35,36,33,32,31,33,30,30,29,27,23,31,27,28]"
xxxxxxxxxxx71,208,12,13,5,9,"[9,12,13,12,9,14,12,12,8,9,7,9,8,8,10,9,13,11,10,10,9,10,8,11]"
xxxxxxxxxxx72,90,31,1,1,1,"[40,43,42,43,45,47,49,47,45,40,39,38,40,41,32,42,40,40,42,36,41,43,42,42]"
xxxxxxxxxxx73,106,45,9,5,2,"[54,49,54,50,48,57,50,42,42,46,49,43,46,42,41,45,36,40,38,37,44,50,50,48]"
xxxxxxxxxxx74,68,34,4,2,1,"[48,48,48,48,47,45,47,44,42,40,42,37,32,31,32,30,31,34,30,31,37,34,36,42]"
xxxxxxxxxxx75,64,22,7,4,1,"[33,32,28,32,33,34,35,37,28,27,23,21,21,22,20,25,25,24,26,33,38,38,41,42]"
xxxxxxxxxxx76,97,27,10,2,4,"[42,42,42,41,40,42,37,41,31,30,29,29,29,30,24,29,30,37,33,33,38,40,47,49]"
xxxxxxxxxxx77,123,57,3,2,1,"[64,61,63,62,62,59,62,58,56,54,58,57,55,59,60,63,64,65,65,60,65,71,77,76]"
xxxxxxxxxxx78,151,38,7,5,2,"[51,49,48,44,44,45,47,48,47,49,49,50,50,48,44,47,45,49,47,43,52,51,51,51]"
xxxxxxxxxxx79,34,14,5,2,3,"[21,20,25,21,24,23,23,21,19,19,18,16,18,19,19,16,20,20,20,21,22,22,26,28]"
xxxxxxxxxxx80,97,23,10,6,2,"[52,53,53,53,52,54,54,49,47,42,42,46,45,41,44,43,40,44,40,39,41,50,56,56]"
xxxxxxxxxxx81,56,24,4,2,2,"[30,31,29,28,29,28,27,28,26,22,24,22,21,17,18,21,21,18,23,24,23,30,33,32]"
xxxxxxxxxxx82,120,49,7,4,1,"[66,68,63,62,60,63,58,58,50,50,49,48,49,47,43,46,46,44,43,49,48,59,60,61]"
xxxxxxxxxxx83,42,23,3,2,2,"[25,22,24,23,26,28,29,26,22,22,23,22,20,22,19,19,22,20,26,23,24,24,23,23]"
xxxxxxxxxxx84,52,20,3,2,1,"[21,24,24,24,25,27,25,18,20,18,16,17,18,17,16,14,15,14,15,16,16,16,17,17]"
xxxxxxxxxxx85,121,33,9,12,2,"[75,79,78,78,75,73,69,72,63,54,50,54,49,47,53,45,46,53,55,63,63,64,72,76]"
xxxxxxxxxxx86,128,54,6,7,1,"[75,74,74,72,70,69,66,63,60,60,58,60,54,52,44,43,50,55,59,62,67,68,71,74]"
xxxxxxxxxxx87,100,37,9,6,2,"[67,66,67,66,65,65,63,52,53,47,41,40,38,35,39,40,41,44,45,46,53,57,60,63]"
xxxxxxxxxxx88,80,31,3,2,6,"[49,48,48,50,49,46,40,35,30,28,27,26,27,26,24,29,34,36,40,45,48,49,51,53]"
xxxxxxxxxxx89,45,13,5,3,2,"[22,22,23,28,23,25,24,22,20,21,16,19,18,20,13,12,15,18,15,18,22,23,24,23]"
xxxxxxxxxxx90,106,35,5,5,7,"[60,65,64,61,60,60,54,57,55,51,51,41,40,31,37,38,40,46,44,51,58,60,61,63]"
xxxxxxxxxxx91,133,56,6,10,1,"[59,60,57,56,61,64,65,57,49,43,47,45,54,45,37,47,44,51,48,51,56,60,59,62]"
xxxxxxxxxxx92,33,12,2,1,1,"[13,13,12,14,12,13,12,11,11,9,12,11,12,12,10,7,11,9,11,12,15,16,18,19]"
xxxxxxxxxxx93,68,32,1,5,1,"[36,35,35,34,36,31,32,32,28,27,27,22,24,23,22,23,21,27,20,29,21,26,28,26]"
xxxxxxxxxxx94,179,36,15,17,1,"[120,116,114,117,117,116,111,108,87,70,67,61,64,66,65,69,76,84,101,117,121,128,131,134]"
xxxxxxxxxxx95,82,30,10,8,6,"[46,45,47,47,45,49,55,41,40,30,29,33,31,29,28,26,31,36,36,40,43,38,44,40]"
xxxxxxxxxxx96,93,49,1,1,1,"[53,50,50,51,52,50,53,45,44,45,44,45,44,43,44,41,40,41,46,45,46,48,52,58]"
xxxxxxxxxxx97,432,207,19,8,1,"[101,101,99,100,101,100,99,96,98,93,96,103,102,97,91,102,109,102,84,80,102,114,113,112]"
xxxxxxxxxxx98,47,14,5,3,1,"[15,11,17,17,14,12,15,14,15,16,17,15,9,8,9,12,13,11,11,16,16,21,21,21]"
xxxxxxxxxxx99,28,17,1,1,1,"[12,13,12,13,12,9,14,9,9,6,4,5,9,7,10,3,7,6,7,9,8,9,7,7]"
xxxxxxxxxxx100,41,11,1,1,1,"[24,26,21,19,24,25,22,21,24,22,20,20,20,21,18,19,13,16,16,15,20,24,25,23]"
