Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
2019-01-02,Wednesday,281489438061.2943,17.156832273958244,1.6663715730686282,0.4563722379444142,1.609657094960492,1514.9499863440728,0.10356405095712888,1.1364599711676202,0.4663735854805066,0.972020211393944,0.9678232431030356,0.003793942344968091,0.20712810191425776
2019-01-03,Thursday,281403622795.5983,17.228354900381376,1.6662048751984997,0.4563542878528355,1.6096071474010094,1515.350579831022,0.11802075592987415,1.0170358553789451,0.4641992328606678,0.9761736826710972,0.9725997350717618,0.0041454125793705145,0.2360415118597483
2019-01-04,Friday,281486097789.18896,17.319796292010473,1.6667122512496464,0.4564262310317779,1.6096387814769404,1515.9178204281811,0.1125227418668596,1.003252580776368,0.4589074129239877,0.9707939146175468,0.9664130018101792,0.004640065787137196,0.2250454837337192
2019-01-07,Monday,281379234366.6292,16.750252458833664,1.6652699420797732,0.4560239135953473,1.6090408166141332,1513.0258080881626,0.130268860655715,1.4032353282284322,0.4585577211611308,0.9764127962073416,0.972874715638443,0.005096287936387122,0.26053772131143
2019-01-08,Tuesday,281506298069.51697,16.54318715716437,1.6644993192807849,0.4558498565061688,1.6086287028777992,1512.5127599643204,0.1419328398409817,1.2558222276065931,0.4622674794386746,0.9616440129512652,0.955890614893955,0.009936342264164668,0.2838656796819634
2019-01-09,Wednesday,281379605523.79675,16.20947647617075,1.6643160370727867,0.4558065965480611,1.6086553149218903,1510.977752579445,0.14206335843180326,1.2695365587854577,0.4651520551895402,0.964269327999822,0.9589097271997952,0.009253703737135615,0.2841267168636065
2019-01-10,Thursday,281418395575.9452,16.127905940228718,1.6653132223383955,0.455838095959913,1.6086654820121622,1511.4794099857934,0.14470250532668733,1.2097003105018345,0.4639726540308397,0.9649282575978768,0.9596674962375584,0.009390404439771205,0.28940501065337465
2019-01-11,Friday,281334606042.132,15.850110796239164,1.6647259135045505,0.4556751798468553,1.6083394616166489,1510.6920619604568,0.12989701806535212,1.132785092581864,0.4500499462325644,0.9596458250881784,0.9535926988514052,0.008717341583359399,0.25979403613070423
2019-01-14,Monday,281257342342.859,16.2236251036893,1.6650930570531153,0.4559357418285939,1.608860344100136,1511.492625755942,0.1404339057195694,1.238003604108698,0.4727186329010778,0.9679667817972132,0.9631617990667952,0.00806425029106362,0.2808678114391388
2019-01-15,Tuesday,281300963267.544,16.459572553052894,1.6649014084507043,0.4560736685129483,1.609136150234742,1512.6477746478872,0.14323767868980905,1.2331380437962058,0.4637053624207325,0.9685473225763748,0.9638294209628312,0.008230560521887104,0.2864753573796181
2019-01-16,Wednesday,281264996878.8164,16.142417599452873,1.6642048275151504,0.4557449853116642,1.6085160589342749,1510.6389339003213,0.13839364367425838,1.272196441547079,0.4618197392476268,0.9616100710413892,0.9558515816975974,0.009462582960384516,0.2767872873485168
2019-01-17,Thursday,281392984674.66943,16.27279865945931,1.6644030144536304,0.4558508921080372,1.6085756331664889,1511.3225680970324,0.14604670245836707,1.2221942149959195,0.46292114954464203,0.9668530176536886,0.9618809703017421,0.009028413558436985,0.2920934049167341
2019-01-18,Friday,281424765634.4191,16.09594213853869,1.6643945995071725,0.4556899792869624,1.6083237297504942,1510.9270596171689,0.13234032638017867,1.092215665571876,0.4516035292727808,0.9537869079634108,0.9468549441579224,0.01039955198561895,0.2646806527603573
2019-01-22,Tuesday,281402142295.0361,16.27645478634217,1.664704558033076,0.4558462548339761,1.608608575743647,1511.843339305648,0.1415207618874334,1.2445855045397327,0.4728160042320006,0.9652569087982792,0.9600454451180208,0.008910078260644813,0.2830415237748668
2019-01-23,Wednesday,281496254836.5254,16.355738874895007,1.6643966362276217,0.4558165974561527,1.6085416930487353,1511.8782907233608,0.14158783230593408,1.2179555563251585,0.4683732976847155,0.9637326005493844,0.958292490631792,0.009312449021205505,0.28317566461186816
2019-01-24,Thursday,281454471461.56604,16.554940146403304,1.6645183095418037,0.4559825440876889,1.6089160732475556,1512.7865287211719,0.1440389884241151,1.1961236469358736,0.4653728879017679,0.9623673097395504,0.9567224062004832,0.010003384171918234,0.2880779768482302
2019-01-25,Friday,281400735869.1904,16.44982555890045,1.6649292523645098,0.4559592755600206,1.6088331331631889,1512.145769216334,0.13349807185591125,1.1140633882777962,0.455865557168438,0.9538733442425172,0.9469543458788948,0.010576073848795012,0.2669961437118225
2019-01-28,Monday,281414195527.7028,16.245187439749305,1.6644662506505137,0.455697183362584,1.6083181351474265,1511.5427229210522,0.1294924864463768,1.2208267116527975,0.4620321968674309,0.9637130432038366,0.9582699996844121,0.00779483084858563,0.2589849728927536
2019-01-29,Tuesday,281578157667.3714,16.41376985079913,1.663996623364442,0.4556323038592402,1.6082680673451204,1511.9265018993576,0.13411860914354165,1.1653640830528682,0.4643774274328508,0.961955967843515,0.9562493630200424,0.008756711927733347,0.2682372182870833
2019-01-30,Wednesday,281535744606.3192,16.909762991765877,1.6643344485377038,0.4560054567334601,1.6088686940831516,1513.506442184798,0.12367032305723535,1.166226413156962,0.4803789561862573,0.959491038626876,0.9534146944209074,0.007948660158513816,0.2473406461144707
2019-01-31,Thursday,281420060832.0889,16.626136238996324,1.6644756596479375,0.455866616403093,1.6086260931576777,1512.2238205157078,0.12322450625736485,1.134812834131348,0.4651012337699724,0.960374382869782,0.9544305403002492,0.0076982237279141314,0.2464490125147297
2019-02-01,Friday,281334732876.2932,16.48785434649866,1.6645684507755738,0.4561242424850719,1.6090517221161649,1512.1292372781982,0.13392029216685825,1.0003779057435451,0.44657410955164817,0.9449023570574278,0.936637710616042,0.012736406598665512,0.2678405843337165
2019-02-04,Monday,281272738930.6337,16.53136388861814,1.6643699632496165,0.4561386228031917,1.6091692911353193,1512.7205750519809,0.13669477770842633,1.183755718861868,0.4609291912716122,0.9574173908499302,0.9510299994774196,0.01024021336894072,0.2733895554168527
2019-02-05,Tuesday,281360884426.35834,16.437256385821414,1.6641414022957233,0.4560143773334837,1.608901439635236,1512.2195385098908,0.1407385309443822,1.1616783736379508,0.4549704061024346,0.95854475212816,0.9523264649473842,0.010542269712251496,0.2814770618887644
2019-02-06,Wednesday,281428806084.2009,16.36117378978148,1.6644128197313202,0.4558790693273028,1.6086652755960893,1511.8494783485337,0.14189556833466174,1.1619847557866458,0.4563210513283308,0.960647015411594,0.954744067723333,0.010150794509711384,0.2837911366693235
2019-02-07,Thursday,281514727650.6918,16.428394097948466,1.6640541770892483,0.4559418675280904,1.6087413588387405,1512.5766312025116,0.1404149027748197,1.1066181247390818,0.4529958726719064,0.9607102564960808,0.9548167949704932,0.009890661300903056,0.2808298055496394
2019-02-08,Friday,281374390168.2202,16.6716960569341,1.6647509848388808,0.4560459963021513,1.608919189215838,1512.9076340859895,0.13613464438899378,1.0079461273051076,0.4455991258896284,0.9387736676255284,0.9295897177693576,0.014728445900810844,0.2722692887779876
2019-02-11,Monday,281521008934.3817,16.08048954491707,1.6644336803050603,0.4557705854383373,1.6083498074634837,1511.1359326543811,0.1339321519317464,1.2702737334938805,0.4685493364175623,0.9580146573900574,0.9517168559985658,0.00972787281577994,0.2678643038634928
2019-02-12,Tuesday,281590781624.9697,15.740344097993194,1.6639695249505109,0.4555818518069357,1.608139159409031,1510.2038252926066,0.12384114925451033,1.2466674067887429,0.4797544668167,0.965240378236749,0.9600264349722614,0.0068269640118713395,0.24768229850902065
2019-02-13,Wednesday,281388126789.71216,16.241495938773934,1.6642001921319618,0.4557944820505042,1.6084772370486655,1511.3769019892684,0.1398250491523106,1.1558904650974562,0.4706793386655948,0.9643138519248642,0.9589609297135938,0.0089011993968053,0.2796500983046212
2019-02-14,Thursday,281390747121.9576,16.511527048865904,1.6649487923249504,0.4560303943020898,1.6089723732011605,1512.6180170285468,0.14038090309954945,1.1922489555728075,0.4628090817294391,0.9610599888220256,0.9552189871453296,0.009843161045416823,0.2807618061990989
2019-02-15,Friday,281421536069.1094,16.484189964495155,1.664886327369666,0.4559805923660331,1.6089135862729267,1512.6361255561606,0.12225616589694654,1.0448906819156598,0.4608626507790726,0.951141975303422,0.9438132715989352,0.00937973856034547,0.2445123317938931
2019-02-19,Tuesday,281501931612.8461,15.654666156142484,1.6641916470428508,0.4556115491230241,1.6082649425798567,1510.4684388181704,0.1312165361631811,1.2662129586333586,0.4681767696127947,0.9655203540337224,0.9603484071387808,0.007607175644790195,0.2624330723263622
2019-02-20,Wednesday,281403697277.3549,15.526664641517456,1.6640123514550391,0.4555133592926907,1.6080565172639656,1509.8924721624405,0.11684361751126958,1.1609717869062044,0.4782525288757938,0.9666530495244176,0.9616510069530804,0.005795874960981331,0.2336872350225392
2019-02-21,Thursday,281392609048.41034,16.077156226924025,1.6645154033267249,0.455731730938629,1.6083950825588316,1511.3688549561075,0.135883488068375,1.192792736807127,0.4623012117941588,0.9725208889624491,0.9683990223068166,0.0064316538857239185,0.27176697613675
2019-02-22,Friday,281345410511.0935,16.118874484416928,1.6646056776419411,0.4558839554525579,1.6087527188179704,1511.5379931373284,0.12764523507229594,1.0545470273188893,0.4505140848427751,0.9511133828718679,0.943780390302648,0.010237867576784585,0.2552904701445919
2019-02-25,Monday,281534322713.2769,16.286445654714132,1.663947377057635,0.4557091912020005,1.6083613467047366,1511.7698402651777,0.13801616488294707,1.2277406572266916,0.4673885526776676,0.9617695146368264,0.9560349418323504,0.009351092292276028,0.2760323297658941
2019-02-26,Tuesday,281367035780.4833,16.384788717412228,1.6637600262676486,0.4558728929347962,1.608687086636334,1512.267221727098,0.14539465722148778,1.237782696680597,0.4583839652920243,0.965178060315594,0.9599547693629332,0.00942361962796142,0.2907893144429756
2019-02-27,Wednesday,281522475076.0242,16.809578357984222,1.6637674890928238,0.4561038164802606,1.6090529562208515,1514.2537940048142,0.14686760891418796,1.1715412093854292,0.4581658424662737,0.9608762443216474,0.9550076809698944,0.010814519978611487,0.2937352178283759
2019-02-28,Thursday,281444375481.4194,16.910590597088028,1.6637869883638448,0.4559628146645834,1.608819425849458,1513.4020838911829,0.14232913693716098,1.1791871464632762,0.4510240630868152,0.9604046981599921,0.9544654028839908,0.010288281182879376,0.284658273874322
2019-03-01,Friday,281448908790.797,16.029756476255088,1.6631000009369523,0.4556788178334238,1.6083491834459238,1511.0034433003214,0.13161602319403828,1.0399832286303403,0.4396720299561613,0.9497752223704224,0.9422415057259856,0.011187363486018077,0.26323204638807657
2019-03-04,Monday,281410542718.3568,15.888458726067304,1.6633407000917724,0.4556195230562416,1.608225797389171,1510.7539705579386,0.1224739918963281,1.1809492765513934,0.4678753472285011,0.9620969201004136,0.9564114581154758,0.007280331654510174,0.2449479837926562
