CSV文件名,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range
Black0.csv,17.034768619539765,3,0.4460190904947404,1.6047188660245597,1271.8820801320776,0.10042665387484066,0.9564957452807553,0.4281843121763168,0.9608548826321566,0.9549831150269801,0.004988096180857794,0.20085330774968133
Black1.csv,17.142329712205196,3,0.20624935533057487,1,1105.7256691975742,0.09095768066889004,0.8897588993122786,0.42306491087670495,0.9619926390310832,0.9562915348857457,0.003948081302281919,0.18191536133778008
Black2.csv,16.96603232760367,3,0.6027568833311154,2,1380.5504374494344,0.10553103865392141,0.9865624410933912,0.4308487698935685,0.9602913297345754,0.9543350291947618,0.005602976212595895,0.21106207730784282
Hispanic0.csv,19.47066863782721,2,0.4995975826421439,1.7012495617625756,1710.5343138125131,0.12911132444783488,1.1392967758686259,0.45887514663503703,0.9721883009901063,0.9680165461386223,0.005861145586086304,0.25822264889566976
Hispanic1.csv,20.63666099804163,2,0.22799272552451155,1,1719.5159523871841,0.1308628222737019,1.144408363153184,0.4604655045136225,0.9711663359891689,0.9668412863875442,0.006250955451787825,0.2617256445474038
Hispanic2.csv,18.9742491582057,2,0.6153084122412663,2,1706.71011938068,0.12836089365078415,1.137059048163074,0.4581928746208668,0.972618531237251,0.9685113109228386,0.005700312714357762,0.2567217873015683
USA0.csv,17.330798142341507,1.6621155918730028,0.4563899860518906,1.6095093266532323,1516.7898463520492,0.13869380375550777,1.1389609754337795,0.4585188690359699,0.9573165319921643,0.9509140117909889,0.010541109473686139,0.27738760751101554
USA1.csv,16.965596072338002,1.2439071225855778,0.21142646530398398,1,1357.7176946497366,0.14004554326963697,1.160052831636069,0.45598193520424124,0.9495044479934559,0.9419301151924743,0.012834988697870519,0.28009108653927395
USA2.csv,17.568967139539225,1.8048318778996488,0.6235879377292025,2,1617.5596990578613,0.13823114773629777,1.1282867551471276,0.46009889092342876,0.961087749972813,0.955250912468735,0.009502236173524468,0.27646229547259554
USA3.csv,18.11982453996534,4,0.9018618313303748,3,1892.3652627108752,0.1344424937262302,1.0952500730379764,0.46068171130714697,0.968984587843292,0.9643322760197858,0.007091439900826734,0.2688849874524604
White0.csv,16.80984265518165,1,0.3864932643463821,1.4578754795470998,1470.6365330533401,0.14482609898947713,1.158894862935468,0.46091235423995436,0.9512324687110699,0.9439173390177305,0.013231523364102556,0.28965219797895425
White1.csv,16.562834938136355,1,0.2100739788021473,1,1348.4275101342698,0.14493764354501754,1.1738921798714914,0.4581540034756769,0.9459062708771635,0.937792211508738,0.014794493879637284,0.28987528709003507
White2.csv,17.10297226942411,1,0.5953741373208268,2,1615.3359412486875,0.14475303222958305,1.1440743684805708,0.4636424660272037,0.9559662159440073,0.9493611483356085,0.011865824250814403,0.2895060644591661
