GIDBG,phase_angle_variance,group_Q
10150012023,0.0456621634465913,4
10499607002,0.0569216268350756,4
10499613003,0.1226333168266134,2
10599730003,0.1720450575667557,3
10599730004,0.0419082222599237,3
10599732001,0.0428899795075172,3
10890025012,0.0750540474472263,3
10950308021,0.0663794569431825,2
10950308025,0.0618706475724365,4
11010060001,0.1655769188501363,1
11030001002,0.2946213243774067,1
20200006008,0.2389686959047752,1
20200027122,0.1060068424039745,2
40030002021,0.9231888283867604,1
40030002022,0.38498696424883,1
40030002023,0.2784084331004905,2
40030006001,0.4956886664576721,1
40030007001,0.2886531516921252,1
40030007004,0.3216055960389975,1
40030008001,0.504989469761319,1
40030008002,0.5221319746340626,1
40030008004,0.6946843998001822,3
40030011002,0.3106262390656979,2
40030012003,0.3340562840333527,1
40030015022,0.1542072159868894,2
40030020012,0.050680459030726,4
40050003004,0.132340591058523,2
40070009002,0.3012986544659925,2
40070011003,0.2485901294056093,1
40099613003,0.3518097077715941,1
40099614003,0.1364220705016595,1
40099614004,0.3672668913553152,1
40099617001,0.7507333138339379,4
40099617002,0.2270034702509837,1
40099617003,0.287294970769386,2
40119601002,0.3940576689072921,2
40120206022,0.567376333311462,1
40129402002,0.096606413917185,2
40130506073,0.0370525702522353,4
40130506074,0.0376002791050405,3
40130506081,0.0537198668968139,3
40130506093,0.0407920616277901,4
40130506102,0.0196547650199883,4
40130507012,0.0227611666391614,4
40130507022,0.0326491769081782,4
40130507023,0.2384651635721935,4
40130608011,0.4504203223065813,4
40130608012,0.1269734605823045,2
40130608013,0.1882907283648065,1
40130608015,0.1891207117482542,1
40130608022,0.0444588353901823,4
40130609011,0.30080064402964,1
40130609021,0.0497255344976845,2
40130609022,0.1324236469767871,2
40130609023,0.2551811056198507,2
40130609031,0.4136023972058983,4
40130609032,0.0778656869646693,2
40130609043,0.098843705631245,2
40130610092,0.0318955416864412,4
40130610111,0.0332778497452518,4
40130610152,0.0647086470909327,2
40130610222,0.025730989825278,4
40130610231,0.0239030696819568,4
40130610414,0.0708155547844469,1
40130612001,0.0987652680762076,4
40130612002,0.7695507622364699,2
40130612003,0.0667373738811544,4
40130612004,0.4211549018404465,1
40130613001,0.1561070088103703,4
40130614011,0.777078478921808,1
40130614012,0.2876947699600801,2
40130614021,0.0854682721394419,3
40130614022,0.2578814279756799,4
40130614023,0.0624655450057004,4
40130716002,0.0599035189409322,4
40130719104,0.0626374794786847,3
40130719121,0.1002074539509811,1
40130719141,0.450451113272181,1
40130719142,0.4395065492296095,1
40130820021,0.0545424725842394,4
40130820023,0.0929688814470685,3
40130820071,0.0385375179062919,4
40130820072,0.0462583650187289,3
40130820081,0.1005792814912307,3
40130820082,0.0629737218150158,3
40130820083,0.0567004751318564,3
40130820091,0.6486133706849161,4
40130820092,0.0337936626628392,4
40130820101,0.0545864347696814,3
40130820102,0.0429116673059985,3
40130820121,0.0384720837391305,4
40130820122,0.0261707065183923,4
40130820172,0.0687560498498354,3
40130820181,0.0390421730961021,4
40130820182,0.0489370892459029,3
40130820211,0.0466674542088624,3
40130820221,0.0276532089126629,4
40130820232,0.0330476519530259,4
40130820241,0.0584706359946997,2
40130820262,0.0339809023844434,4
40130820272,0.0351370798759932,4
40130820281,0.0699198969770207,3
40130820282,0.041533187404087,4
40130822031,0.0333066127041259,4
40130822032,0.0490188599765193,3
40130822033,0.0287357526791622,4
40130822041,0.0351008110872142,4
40130822042,0.0319213905560219,4
40130822051,0.036426855625537,4
40130822052,0.0241949956725631,4
40130822061,0.0253660454102929,4
40130822071,0.0544117536799559,1
40130822072,0.0339790461024102,4
40130822081,0.1057913544194218,3
40130822082,0.0659904365884353,2
40130822091,0.1780629459934928,1
40130822092,0.0692485013578323,3
40130822101,0.0539353470792967,4
40130822102,0.0432124730374915,3
40130822112,0.0261461902979638,4
40130822113,0.0286241408765578,4
40130830001,0.0552700351718505,4
40130830002,0.0780989093953723,4
40130830003,0.1476481105412634,3
40130923074,0.056305753412065,4
40130923081,0.062424963102959,3
40130923083,0.0508002832937405,2
40130923094,0.0617711630826351,2
40130925002,0.1301063350782511,3
40130926002,0.2681345710746336,2
40130926003,0.3087117255673639,1
40130927052,0.0389541888410202,4
40130927092,0.0676978512998894,3
40130927121,0.0387517880517114,4
40130927131,0.0605264732364589,3
40130927132,0.0648673656596069,4
40130927151,0.2047294827441916,1
40130927152,0.1774827467208456,3
40130927153,0.0789598125548111,2
40130927161,0.0524602016465917,3
40130927163,0.1228760763967146,1
40130927171,0.0799662372757786,4
40130927181,0.2878562275262325,4
40130927182,0.0505731176610701,4
40130927192,0.0501574545925982,4
40130928011,0.2944796544724573,1
40130928012,0.6191321073748332,1
40130928013,0.425589257530298,2
40130928014,0.1809798954441364,2
40130928021,0.1644792183955107,3
40130928022,0.1849796105739946,1
40130928024,0.0613464626732957,3
40130929001,0.1892230631324192,4
40130929002,0.4388881536867352,3
40130930011,0.0670513799157063,4
40130930012,0.0717769104463713,3
40130930021,0.4091238150876422,1
40130930022,0.0661971643513467,4
40130930023,0.0630414796337176,3
40130931011,0.1173363288585638,2
40130931012,0.2455416681449441,1
40130931013,0.2868730402677942,2
40130931014,0.1382541019567291,3
40130931041,0.118363511670457,3
40130931042,0.2481027189411068,2
40130931043,0.4013437710121988,2
40130931044,0.081521243502653,2
40130931051,0.2859135908121157,2
40130931052,0.1893319162025157,2
40130931053,0.1209216454145538,4
40130931054,0.0716025504980186,3
