GIDBG,phase_angle_variance,group_Q
10010202001,0.0578097304506476,2
10010202002,0.0689865053790568,2
10010211001,0.0305069654861955,3
10030106001,0.1128245399434652,1
10030106002,0.5340830287091296,1
10059501002,0.0445233584987347,2
10059502003,0.3501627704264102,1
10059503002,0.0756215000572333,1
10059504002,0.1034070460327616,1
10059506001,0.5058006709220345,1
10059507002,0.1012980771259811,2
10059508001,0.1796803424040445,3
10059509002,0.1163898392232029,4
10070100044,0.0637783722082139,3
10119521001,0.1587662790830753,1
10119522001,0.0779954307208356,3
10119522002,0.0690212827223917,3
10119522003,0.137398301314922,4
10139529002,0.1301557135492299,2
10139531001,0.2227728864672852,1
10139531002,0.2357424234086246,3
10139531003,0.1580920208290218,1
10139532002,0.3493694551481629,1
10139534001,0.2287967081250956,2
10150002002,0.1242192658630439,3
10150003001,0.554940724874879,1
10150003002,0.3649260109804279,2
10150004001,0.1522982392352834,1
10150006001,0.6202375274137596,4
10150008001,0.2713082053267234,4
10179539004,0.1441389261640443,1
10179540002,0.1092143485388468,1
10179540003,0.2026171095658096,1
10179540004,0.0987114901887392,1
10179540006,0.0619302498703487,2
10179543001,0.1044889940953119,3
10179543002,0.05062841393487,3
10179544001,0.5517644057980906,1
10179545004,0.2717177481373577,1
10179547001,0.2356818128614816,2
10210601011,0.3672163355469771,4
10239567001,0.1511400120757836,2
10239567004,0.1214023486426684,3
10239568001,0.0651471677963581,1
10239570001,0.08070419621078,3
10259575001,0.0879426071409591,2
10259576021,0.17551252449159,1
10259576024,0.0433258241734733,3
10259577001,0.1073593059903236,1
10259578001,0.1956893065547664,1
10259578003,0.208671224411978,1
10259578005,0.0566906488836793,3
10259579011,0.1324874544984292,1
10259579021,0.198416749422876,2
10259579024,0.2232719919103449,2
10259580011,0.046036472243114,2
10259580021,0.0929907366473,2
10310105002,0.170159604652019,2
10310112021,0.0830300168110209,2
10330203001,0.0770283482615159,2
10330203002,0.4653264415468167,2
10330206004,0.0741413035181001,3
10359604001,0.3094231869512711,1
10359604002,0.1097429463371924,1
10359605001,0.2367397399926734,1
10359606003,0.2087774502674064,3
10379610001,0.3735255476339409,1
10379610002,0.0707783432224013,1
10379610003,0.1293374451556912,2
10379610004,0.0690566469619509,2
10399621001,0.621188472352131,1
10450205002,0.1392253458320744,1
10450207001,0.3644710030454869,1
10450207004,0.0711430943761563,1
10479561003,0.0489971327670998,3
10479561004,0.0626944471766778,4
10479563001,0.1217517312818009,3
10479563002,0.0803396903772315,3
10479564001,0.2597497886254456,1
10479565001,0.3462141299954939,1
10479565003,0.545065147086032,1
10479566001,0.3574562884419318,1
10479566002,0.5124947606500906,1
10479566004,0.4578221018502696,4
10479567021,0.0584426777341871,3
10479568002,0.0642370554934209,2
10479569001,0.1993011470136072,1
10479569002,0.1758869596625693,1
10479570001,0.1302704958220622,1
10479572002,0.3368830161395768,1
10479573001,0.1171165862662147,2
10479573003,0.5634185430832899,1
10510306002,0.1242405740063368,4
10510308002,0.0465059872679493,3
10510308004,0.071184681017398,2
10539698005,0.5857467449526796,1
10539702002,0.3193681386236763,1
10539705001,0.3527564511593323,4
10539706004,0.5518081390283717,1
10550002001,0.2588526234352929,1
10550002003,0.1880011261771916,2
10550003001,0.1896753412983694,1
10550003003,0.3854475581021707,2
10550010001,0.4393942565595973,2
10550013002,0.2847625557719692,1
10550016001,0.0599064887585617,3
10550016002,0.3522292922569972,1
10550016003,0.1633504017051262,1
10550017001,0.5024912685402627,1
10550112003,0.2171613196633869,1
10610503006,0.4942450743620111,1
10630601001,0.2311098674769542,1
10630601002,0.3402302339707777,1
10630601003,0.2931385455519156,2
10630601004,0.5464180581832346,2
10630602001,0.5509191994981916,1
10630602002,0.0506888259655581,2
10650403001,0.0870291821630718,1
10650403002,0.0772875021655455,2
10650404001,0.3259611124726927,1
10650404003,0.111195992987753,2
10650404004,0.1922975921443538,3
10650405001,0.1259460683827758,1
10670302002,0.0893532998963557,2
10670305002,0.0496646634336281,3
10690403013,0.1908074957522083,2
10690406001,0.6089335011514239,2
10690406002,0.4270734204510757,1
10690406003,0.5641051621151254,1
10690407002,0.0632153349818254,4
10690410001,0.0717724995995096,4
10690410002,0.1144960624819049,3
10690412001,0.1261887368637358,2
10690412002,0.2032067845339799,2
10690414001,0.0792046687307266,3
10690414002,0.0760586089120844,4
10690414003,0.4769230043332755,1
10690415002,0.1611464429214879,1
10690415003,0.2000825863454151,2
10690415004,0.4933242229943266,4
10690415005,0.5810766379103323,1
10690416002,0.0311795239309867,3
10730001002,0.0838425122209556,1
10730001003,0.4635632505820221,1
10730003001,0.1994504575328313,3
10730003002,0.4094533410673985,1
10730004002,0.1995946864155972,1
10730004003,0.2872209556713245,2
10730004005,0.3932060795490343,1
10730005001,0.4119341040565956,1
10730005002,0.433644216687416,1
10730005004,0.4985268219605141,2
10730007002,0.239145812876649,2
10730008002,0.0918919037661572,2
10730008004,0.5989753015948844,1
10730011003,0.0637395039661078,2
10730011005,0.1239217371113453,2
10730012001,0.2782132348540643,2
10730012002,0.2542353643796741,1
10730014003,0.2365321580945913,1
10730015001,0.4655757986866736,1
10730015002,0.254208097278527,1
10730015003,0.3863913915849432,1
10730016002,0.3335627790263357,1
10730016004,0.2795531604284449,1
10730019023,0.555943529790668,1
10730020001,0.1799037713215373,2
10730020002,0.1304837864892963,3
10730020003,0.1105996949608162,2
10730021001,0.1339561925409418,3
10730021002,0.1199108537400139,1
10730021003,0.3774479039520746,3
10730022001,0.1341723179716712,3
10730022002,0.2217937329986336,1
10730023031,0.3283340956144263,2
10730023032,0.2232187350646003,1
10730023034,0.2958550937869724,1
10730024001,0.3951775740788982,1
10730024003,0.1624032695404728,1
10730027002,0.5214327156105425,4
10730027003,0.4612228393105742,2
10730030014,0.1362033163714595,1
10730030021,0.1825136710443057,1
10730030023,0.1769833998308274,3
10730031002,0.3788819411089154,1
10730031003,0.1759008711695686,2
10730031005,0.420000667029125,1
10730032002,0.1495066738738676,2
10730034002,0.5118616573696991,1
10730034003,0.2328258463091173,1
10730035001,0.1294678033210733,1
10730035003,0.3010831319073753,1
10730036001,0.1300557827175851,1
10730036004,0.2065386075230343,1
10730036005,0.1181243634197147,1
10730036006,0.285166185498983,1
10730037001,0.4071450732318641,4
10730037002,0.1783989389008325,2
10730037003,0.0971049890046983,1
10730037004,0.1027918369234329,2
10730038021,0.0726631525312719,2
10730038022,0.1053333559959401,2
10730038023,0.1345806649331532,3
10730038031,0.0950768982470398,2
10730038032,0.1533018702573929,1
10730038033,0.1483684538453696,1
10730038034,0.311879656285543,1
10730039001,0.2099820089079674,3
10730040001,0.182809029957048,1
10730040003,0.5856716215323701,4
10730040004,0.3028489671190528,2
10730040005,0.4472857924171818,1
10730042001,0.3333941296188817,1
10730045002,0.4331307138635685,1
10730051031,0.0580503661698055,1
10730051032,0.0679268713369407,2
10730051041,0.0687121505872636,2
10730051043,0.060186196746352,3
10730052001,0.1068410874868013,2
10730052002,0.3199527038372972,1
10730052003,0.3784076980666643,4
10730053022,0.030687980829523,3
10730055001,0.2070221033642117,1
10730055002,0.1530099371418258,3
10730057012,0.2042872855513483,1
10730057013,0.2499692404315353,1
10730057021,0.1755341907001063,2
10730057023,0.433306990958197,1
10730058001,0.0748577211681139,3
10730058003,0.0342870418972818,4
10730059032,0.0458739404086186,3
10730059033,0.0433296423555581,4
10730059051,0.0758932764520429,2
10730059052,0.0476240246269604,3
10730059053,0.0687779486332467,4
10730059071,0.042167698933904,4
10730059081,0.1356859621574236,2
10730059082,0.0605786676909516,4
10730059083,0.1444021356277576,1
10730059091,0.0413022836128468,4
10730059101,0.0459649726513267,2
10730059102,0.0392678225886537,3
10730059103,0.0363866212433269,3
10730059104,0.0886303730702879,2
10730100011,0.0294105573047477,4
10730100014,0.1177366704727184,2
10730100022,0.0356605408373017,3
10730102001,0.0844707845078772,2
10730103012,0.165086452612028,2
10730103013,0.1544989364754535,1
10730103022,0.1158186717382365,4
10730103023,0.1793225667527174,2
10730104011,0.0757776463610168,1
10730104012,0.2877952941447242,1
10730104014,0.077895995160728,1
10730104015,0.0911959425652429,2
10730104021,0.0440460093370267,3
10730105003,0.4047765554926319,1
10730106021,0.1492019944182403,3
10730106022,0.0890872252026,3
10730106023,0.2562477899639176,1
10730106025,0.2004663862510525,2
10730106026,0.1832076383036122,1
10730106031,0.0761096398667267,4
10730107062,0.0765071934166564,3
10730108032,0.0803448818938234,1
10730108033,0.0348273863814506,4
10730109001,0.1842565258951081,1
10730109003,0.1905498918052568,1
10730109006,0.2102941105328326,1
10730109007,0.4203864059398042,1
10730110021,0.0319602326018731,4
10730110022,0.5216364804246473,1
10730111041,0.0614612491450052,4
10730111042,0.032924598742507,4
10730111043,0.0744971229693503,2
10730111045,0.0535345228317167,1
10730111046,0.0274719667253255,4
10730112071,0.0267765960699054,4
10730112072,0.0282939731108753,4
10730112091,0.0702889081627117,4
10730112092,0.1051197948298446,3
10730112101,0.0415233883041217,4
10730118023,0.0636163898557229,3
10730118025,0.0457455995943976,4
10730118031,0.032640416238686,4
10730118032,0.0388340811051635,4
10730118041,0.5323660540016717,4
10730118042,0.1143390834707987,2
10730118043,0.0961387562174887,1
10730119041,0.3016285791243423,2
10730119043,0.1566091121049738,2
10730120011,0.0283694051317192,4
10730120023,0.0686357301720701,2
10730121031,0.0706804858619195,2
10730121035,0.0834352365870264,2
10730121042,0.0534439587457576,1
10730121043,0.5971404328129377,1
10730123042,0.0426413964107864,3
10730123051,0.2555711547353361,1
10730123052,0.0224887557702952,4
10730123054,0.054374200345964,4
10730123055,0.0430896220752686,3
10730124011,0.0490596272070982,3
10730124012,0.0544408521645667,4
10730124021,0.0737937655911646,2
10730124023,0.0413254361301153,2
10730124032,0.0338750161330011,4
10730125002,0.0534879129754181,3
10730127011,0.1208790333652159,4
10730129064,0.0525888086150663,2
10730129123,0.0326262139580879,4
10730130021,0.1799663733567998,2
10730130022,0.2805864261194991,1
10730131001,0.0867527423227649,4
10730131002,0.3147874789425441,1
10730132003,0.2121149231863316,3
10730133002,0.218017945100684,2
10730133003,0.1859301011204765,1
10730134001,0.1110692887883497,1
10730134002,0.0452263131700397,3
10730134003,0.0563330272166701,2
10730134004,0.121347003867767,1
10730136011,0.3371613285776385,1
10730136014,0.0749990753078763,2
10730136015,0.1994842498854796,1
10730138012,0.1877274292345205,1
10730138013,0.1763355046977622,1
10730139011,0.1017460580742609,3
10730139021,0.0379793511127136,3
10730141042,0.0529282202388531,4
10730141051,0.0391100284552722,4
10730141052,0.3275623906584186,1
10730141053,0.1950141753566555,1
10770103002,0.1664405022910499,2
10799791001,0.1120194360968304,1
10799792005,0.1523602351361146,1
10810406022,0.1443594803191309,1
10810409021,0.0704329119133468,2
10810410002,0.0290682811600242,4
10810410003,0.0703854951106528,2
10810411004,0.0489745823492549,3
10810413002,0.1925404009314388,1
10810414002,0.6037874046999872,1
10810414003,0.3697608186842716,1
10810414004,0.0636966928366295,3
10810416001,0.0367073012605441,4
10810416002,0.2798091548656335,3
10810421021,0.0301217379916282,4
10830210001,0.0588719394133296,3
10857808002,0.0515279152376563,2
10857808003,0.0241275643372867,4
10857810002,0.1584315187444296,1
10857811001,0.138667069273328,2
10857812002,0.1921384218112347,2
10872314001,0.1051550281551158,2
10872315001,0.0946269429251832,2
10872316011,0.0667033909707006,2
10872316021,0.1240484730890672,2
10872316031,0.1262551651749249,2
10872319001,0.2366510848803652,1
10872319002,0.3247446134360809,1
10872320001,0.1739947663479502,1
10872321001,0.3078459665909852,2
10872321002,0.3090839022343159,1
10872322001,0.1034826103472869,2
10872322002,0.0714753431136889,1
10890002011,0.3773750717172287,4
10890002021,0.1113279472790759,4
10890002022,0.1066266513433877,2
10890003011,0.1015790438585103,3
10890003012,0.1393712136382447,1
10890003014,0.1884662995371366,1
10890003021,0.0717437263936732,4
10890003022,0.2330801368610061,4
10890004031,0.0401369352137426,4
10890004033,0.1433718589824327,1
10890004034,0.2650725350187818,1
10890005011,0.0908399148147714,2
10890005012,0.1203618597995892,1
10890005021,0.0775110057002722,2
10890005022,0.2277857570173445,1
10890005031,0.1878042734400749,1
10890005032,0.2973162433585644,2
10890006011,0.1161772503518706,1
10890006021,0.0824889745046792,2
10890007011,0.2127743990969522,3
10890007012,0.1953059271123425,1
10890007013,0.1197144319655947,2
10890007021,0.054670736278619,3
10890012001,0.1733473914836693,1
10890012002,0.2954059589575879,1
10890012003,0.3712268384101646,3
10890013011,0.0666218184736167,3
10890013012,0.0777433774785259,3
10890013013,0.2993364488063728,2
10890013021,0.0610493340395562,4
10890014022,0.0354164898956273,4
10890021001,0.4309244393589667,2
10890021003,0.1937965323060624,2
10890025022,0.0446282069114448,4
10890030001,0.2862633909570529,2
10890030003,0.2892268488085695,1
10890105021,0.0304387094177295,4
10890106222,0.0600160406489732,4
10890106224,0.0561211620600693,4
10890112001,0.0225947020009082,4
10919729002,0.3492857466038243,2
10919729003,0.0835641026931214,2
10919729004,0.210327600762165,2
10919729005,0.2480776961977801,1
10919730003,0.0720860857405843,3
10919731001,0.0473156191990631,1
10919731003,0.1618474578580603,1
10919732001,0.0601145514661443,3
10919732002,0.2831847866141969,1
10919733003,0.1668205139067936,2
10919734003,0.0441082468084988,1
10970005001,0.4206318069929853,1
10970006001,0.5468707460941193,1
10970006002,0.1485742026802874,1
10970007011,0.2616306543777281,2
10970007021,0.3407572698785978,1
10970007023,0.3445312936825804,1
10970008001,0.1071680931489426,2
10970008003,0.178698835910057,3
10970008005,0.2104320533393464,1
10970011003,0.2748598174744921,1
10970012001,0.4524656703480603,3
10970013021,0.540240775271267,1
10970014001,0.2276818347704871,1
10970014002,0.6110330983986949,1
10970015011,0.3749420617348808,1
10970015021,0.4279347344531797,1
10970018001,0.3373854779948268,2
10970018002,0.1105419491158453,2
10970019011,0.3969008945695633,1
10970019021,0.118702727541843,3
10970020001,0.2927844388429197,1
10970021002,0.2223893224769616,3
10970021003,0.1062817286239066,3
10970022002,0.246101090228334,1
10970022003,0.2820631793983783,2
10970023012,0.2717601803063497,1
10970023013,0.486424108736392,1
10970023021,0.3697127239045453,2
10970024001,0.2318031154995876,1
10970024002,0.3866334950273645,2
10970024003,0.1451072311792975,2
10970026002,0.2267759859923813,1
10970026003,0.3043270508558133,2
10970027001,0.2405629860390036,2
10970027002,0.3181790990069569,2
10970028001,0.0688622783886201,3
10970028002,0.3413441216591229,1
10970028004,0.1288541293919719,1
10970029002,0.1326418136008427,2
10970032021,0.0727347733812527,3
10970032042,0.0832357071153511,3
10970032051,0.4671948848512116,1
10970032052,0.0757021334654644,3
10970033011,0.0676477090313174,3
10970034021,0.2672896377802381,1
10970034022,0.0454713724767052,4
10970034041,0.0569615065524139,4
10970034051,0.0488643416101197,3
10970034061,0.0505386651243273,4
10970034073,0.0416960922057302,3
10970034081,0.0492788547202937,2
10970034083,0.0671521694555678,4
10970036021,0.1414136235924013,3
10970036081,0.0756191109711674,2
10970038001,0.087382668343434,4
10970039011,0.3529962671533161,1
10970039012,0.3575325405972559,1
10970040002,0.4525226374005254,1
10970049003,0.2809478193020836,1
10970049004,0.4387449105805012,2
10970050001,0.2195948318997329,1
10970050002,0.307665236501865,1
10970051001,0.2109067025118982,1
10970058003,0.2642439025645172,3
10970061031,0.0492607706822109,4
10970061032,0.0596670280555237,3
10970064021,0.3230728470914129,1
10970071021,0.0418781095986957,4
10970074002,0.4057683098825979,2
10970074004,0.4532918199112177,4
