Date,Day of Week,origin_census_block_group,Weight,Race,Entropy_norm,Entropy_cat,device_count,Amplitude,Phase Angle,Baseline,R2,Adjusted R2,Residuals Sum,Range,Time,Time1,Time2
2020-03-13,Friday,278395843188.7817,20.89146795730689,3.0,0.4533163329625659,1.6175469483568077,1308.5969483568076,0.1038041203217062,0.7737017570888097,0.3804290877778949,0.8833486582066039,0.8658509569375945,0.017029694200114843,0.2076082406434124,2.8321845597500857,14.167815440249914,14:10
2020-03-16,Monday,278683456932.6847,22.57338559711278,3.0,0.4572246154419663,1.6246357455075282,1330.3860490529382,0.07461362171993098,0.9791822408209552,0.42231673265423497,0.9773126323549696,0.9739095272082152,0.0015715556732507293,0.14922724343986193,3.5843589577324346,13.415641042267566,13:24
2020-03-17,Tuesday,277850497423.97125,22.53821646764399,3.0,0.4561435719278532,1.6226892274342144,1325.720720178238,0.06352812240794678,0.8759755992599907,0.4364039219637634,0.966808694415936,0.9618299985783264,0.0016717102641180884,0.12705624481589356,3.206564472952593,13.793435527047407,13:47
2020-03-18,Wednesday,278722954041.4456,22.894489122016296,3.0,0.457177004221716,1.624786845310597,1332.848599269184,0.06314845648216831,0.947515596423773,0.44233354667867103,0.9798503014573244,0.9768278466759228,0.000994856186860783,0.12629691296433662,3.468441189032704,13.531558810967296,13:31
2020-03-19,Thursday,278430089811.37506,22.61868938231019,3.0,0.4569912172352332,1.6239927294759164,1330.2822175098454,0.06117966160205994,0.7153323912370451,0.4354976226828741,0.9363001510384747,0.9267451736942459,0.0030334083724407376,0.12235932320411988,2.6185197784397904,14.38148022156021,14:22
2020-03-20,Friday,278829456594.7109,23.02596740130114,3.0,0.458424392421869,1.626551173362821,1339.3750460744566,0.06009849873047071,0.6463836723181859,0.4073315361094399,0.9277692730536932,0.9169346640117472,0.0033315138099370986,0.1201969974609414,2.366128601416618,14.633871398583382,14:38
2020-03-23,Monday,278245318929.8504,22.67414304366809,3.0,0.4575242503793582,1.6251739788199695,1328.6626928895614,0.04723446802542138,0.7443065576168165,0.44901921939283856,0.9453813853557748,0.9371885931591408,0.0015390399389467394,0.09446893605084276,2.724581559869866,14.275418440130133,14:16
2020-03-24,Tuesday,278393318582.4059,23.039441023296643,3.0,0.4582338135767344,1.6262880274779197,1337.3009077526988,0.04758867158074245,1.1182502367752505,0.4571158176539848,0.9020720464686336,0.8873828534389285,0.0030178515545203283,0.0951773431614849,4.093426214318661,12.906573785681339,12:54
2020-03-25,Wednesday,278431083860.3948,21.87809110285887,3.0,0.4559276444604135,1.6224111097809168,1320.8568777684666,0.046652974423148336,0.5043942405504276,0.4546565847601225,0.8320013394764116,0.8068015403978734,0.005152402829329746,0.09330594884629667,1.8463672429657108,15.15363275703429,15:09
2020-03-26,Thursday,278960538593.0801,24.10944714911239,3.0,0.4603583530687325,1.6293605561470532,1349.7035761257594,0.04913721971126892,0.6974381216563027,0.4634741696281479,0.962715745955492,0.9571231078488158,0.001112305673156236,0.09827443942253784,2.5530166649335264,14.446983335066474,14:26
2020-03-27,Friday,277737077059.52234,24.745046640555078,3.0,0.4612078832685711,1.6317836872648428,1360.7951661246093,0.04925023903297191,0.7475920066627054,0.46694790459584495,0.974513407418973,0.9706904185318188,0.000757622730171275,0.09850047806594382,2.736608155356251,14.263391844643749,14:15
2020-03-30,Monday,278356577787.6969,23.33251165052853,3.0,0.4592788550865218,1.6284867933843497,1340.741915576401,0.040818532163044284,0.7996570175985263,0.4578005650997254,0.9748238245231596,0.9710473982016334,0.0005160598270444102,0.08163706432608857,2.9271954439653487,14.07280455603465,14:04
2020-03-31,Tuesday,278652674844.57404,23.836717368572945,3.0,0.4605499917293997,1.6302720239580737,1348.2757674070376,0.04330028303301107,0.7813146875548396,0.4653498479398666,0.973580374914048,0.9696174311511552,0.0006092857491336295,0.08660056606602214,2.8600521765970073,14.139947823402993,14:08
2020-04-01,Wednesday,278035509379.00104,20.600910706465186,3.0,0.451870448582404,1.6143889925373134,1304.2916861007463,0.05000781005214641,0.6939375213819063,0.4919967337362474,0.9696111918691338,0.9650528706495038,0.0009320662838509078,0.10001562010429282,2.540202494671969,14.45979750532803,14:27
2020-04-02,Thursday,278181518194.8295,20.701219264959928,3.0,0.4524823536585566,1.615425004375474,1304.7759757307042,0.0462606957544636,0.6716778759590103,0.4898723329537578,0.9666668586171361,0.9616668874097064,0.0008760229783559591,0.0925213915089272,2.458719644859853,14.541280355140147,14:32
2020-04-03,Friday,277999889786.7156,20.90715538632419,3.0,0.4531815357687005,1.616891495601173,1307.6603519061584,0.04973262757105841,0.6848721732117794,0.488109142304253,0.9655359472674506,0.9603663393575682,0.001049117755306785,0.09946525514211682,2.5070182103130993,14.492981789686901,14:29
2020-04-06,Monday,278378367080.2609,22.21231908814277,3.0,0.4551543636058847,1.6194137433925997,1323.1140076886113,0.04756077150671787,0.7254541558903153,0.4981059317900061,0.9790202739439452,0.9758733150355372,0.0005778962151824152,0.09512154301343574,2.6555711426195483,14.344428857380452,14:20
2020-04-07,Tuesday,278637859328.7534,22.14356374641641,3.0,0.4555387816731864,1.6208035553420217,1323.4036394210555,0.040674189484753535,0.7487736036896636,0.4977498389273956,0.9714952709924694,0.9672195616413396,0.0005797856411710777,0.08134837896950707,2.7409334665306617,14.259066533469339,14:15
2020-04-08,Wednesday,278137230031.2947,22.08162877349352,3.0,0.4550483841884776,1.6202015355086372,1322.3835772552784,0.048426092394907264,0.7436395721691729,0.4924969778377693,0.9755686056279688,0.9719038964721641,0.0007011716050256479,0.09685218478981453,2.7221400171577206,14.27785998284228,14:16
2020-04-09,Thursday,278243185543.8326,21.875033559937204,3.0,0.4544982433726133,1.6189339222825765,1318.9013907956785,0.04125283725210552,0.7025422986725501,0.4901082184467752,0.9580179336549676,0.9517206237032124,0.0008874612075617537,0.08250567450421105,2.5717008299922184,14.428299170007781,14:25
2020-04-10,Friday,278582822064.79376,22.316462359870357,3.0,0.4554668564087561,1.6206688397923457,1325.9840033804178,0.04593599172417317,0.5489946072121753,0.4920952154751924,0.9576452056493542,0.9512919864967572,0.0010976071218729267,0.09187198344834634,2.0096297257780575,14.990370274221942,14:59
2020-04-13,Monday,279064476264.50165,23.44664080139106,3.0,0.4579207032525247,1.6250539956803456,1340.4493057698242,0.047525466736872655,0.4771567300721173,0.4996951716710064,0.9204590060433796,0.9085278569498868,0.002284042391073065,0.09505093347374532,1.746662601072482,15.253337398927519,15:15
